,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count
0,mse,8.539871790978408,6.384869406786858,1.8512332,0.30935000000000024,0.0663025236660819,0.0663025236660819,0.47,0.9900880999999999,0.0,0.05588286416384051,0.05588286416384051,0.714,2.4537367999999997,0.9416499999999992,0.14336950311527633,0.14336950311527633,0.429,1.5303893,0.0,0.10249433428638238,0.10249433428638238,0.604,2.749915,0.95275,0.15186752775052356,0.15186752775052356,0.456,2.0339658,0.14694999999999858,0.1957900663488971,0.1957900663488971,0.488,4.946151300041251,4.744949999999996,0.1308900543187357,0.1308900543187357,0.006,4.8338942000000005,4.551599999999997,0.13401257418706994,0.13401257418706994,0.009,1.8196039199829102,0.08632779121398926,933,571,785,525,704,497,583,131,127
1,separated,"[56.02470816511029, 54.83584345609618, 56.01476665002534, 55.15057930460429, 54.41567805001306, 55.37948198473503, 47.69068162946722, 49.69888422332539]","[48.69308083341619, 47.53883740988057, 48.28025968693031, 47.426026790825276, 46.984507314646564, 48.24202013669191, 41.223156769906055, 42.94759424637972]",1.1806891000000004,3.552713678800501e-15,1.2920660390082202e-16,0.038905065184264655,0.609,0.7483420000000001,0.0,0.0,0.04143099849042029,0.746,1.664413,1.7763568394002505e-15,1.2285566767056443e-16,0.0956947928897022,0.546,1.3192885,0.0,0.0,0.08540175644693061,0.642,0.8261193,0.0,0.0,0.04286213528686938,0.756,0.9419557,0.0,0.0,0.08181127463745214,0.612,4.215283000041251,3.937000000000001,0.10323228171388389,0.11108165642669224,0.019,4.015510900000001,3.7794000000000025,0.10385407608744349,0.11065928655609966,0.022,5728.475051403046,585.21533203125,0,734,823,668,764,813,750,174,187
2,separated+mse,"[9.40173807289365, 9.430842952440525, 9.581740362935147, 9.495014596026298, 9.288483182612305, 9.503966247172418, 9.455130354270805, 9.462579008148401]","[7.140923542285554, 7.03948565402278, 7.2820470431475695, 7.138683015154394, 6.865503975282866, 7.15603946019522, 7.119433767401063, 7.238317814750319]",1.1020142000000006,3.552713678800501e-15,1.3037099152293814e-16,0.0370599885190875,0.605,0.6562272,0.0,0.0,0.036504363281832895,0.754,1.3326664999999998,0.0,0.0,0.07590705198395807,0.599,1.2233630000000002,0.0,0.0,0.08076315947710745,0.643,0.7109784,0.0,0.0,0.036487187271792676,0.77,0.8421794,0.0,0.0,0.07119308127812317,0.642,3.76306080004125,3.543999999999997,0.09219257697098794,0.09939503797633376,0.027,3.8006884,3.5199500000000015,0.09646444471456027,0.104483277677728,0.027,6372.118885040283,655.3906259536743,0,745,831,730,774,830,776,222,234
3,comb,34.27070614059788,30.326440860439977,1.1566796000000004,3.552713678800501e-15,0.03854514268037041,0.03854514268037041,0.594,0.5751352,0.0,0.032284864517426945,0.032284864517426945,0.771,1.1853367,0.0,0.0680397683290196,0.0680397683290196,0.609,1.348329,0.0,0.08651964429878294,0.08651964429878294,0.64,0.8226313000000001,0.0,0.04341514433505398,0.04341514433505398,0.764,1.0714970999999998,0.0,0.0977945815716427,0.0977945815716427,0.601,4.5792794000412504,4.248050000000003,0.12122172382459749,0.12122172382459749,0.015,4.299420800000001,3.982800000000001,0.11849056905898511,0.11849056905898511,0.021,7329.792030572891,742.3605840206146,0,723,852,746,762,823,733,146,158
4,comb+mse,15.270671224958093,12.386505642848562,1.1893410000000004,3.552713678800501e-15,0.03964656616128613,0.03964656616128613,0.585,0.7357862,0.0,0.041189535959233754,0.041189535959233754,0.747,1.1820009,0.0,0.0669179594925201,0.0669179594925201,0.599,1.2284772,0.0,0.08069459243075561,0.08069459243075561,0.658,0.6408642999999999,0.0,0.031674837980045695,0.031674837980045695,0.775,0.9257676,0.0,0.08400453872468173,0.08400453872468173,0.619,3.91095800004125,3.6327000000000034,0.10334811137210786,0.10334811137210786,0.023,3.9134548999999996,3.629450000000002,0.10753579035451725,0.10753579035451725,0.028,8551.791116476059,858.8604071140289,0,720,827,733,782,832,753,211,187
5,gradnorm,29.994580465121384,25.91102287078408,1.1694010000000004,3.552713678800501e-15,0.03938570515290853,0.03938570515290853,0.599,0.5900344,0.0,0.032715286884299206,0.032715286884299206,0.773,1.2687096,0.0,0.07216152204435597,0.07216152204435597,0.603,1.3103928,0.0,0.08556869664535989,0.08556869664535989,0.653,0.8111982000000001,0.0,0.04224728246556635,0.04224728246556635,0.766,0.9735178,0.0,0.08285840076024388,0.08285840076024388,0.625,4.494698900041249,4.237299999999998,0.11924956797649974,0.11924956797649974,0.016,4.2287914,3.9229500000000073,0.11648515660799248,0.11648515660799248,0.023,6074.21187877655,617.7534766197205,0,728,857,735,769,825,755,152,183
6,gradnorm+mse,9.973206651754259,7.081382675276934,0.9802801000000003,3.552713678800501e-15,0.03330564578672846,0.03330564578672846,0.633,0.5017273999999999,0.0,0.026631458485692188,0.026631458485692188,0.788,1.1415472,0.0,0.06569737252222155,0.06569737252222155,0.59,0.8956767,0.0,0.05667203141174708,0.05667203141174708,0.701,0.5820455000000001,0.0,0.02973350643910186,0.02973350643910186,0.781,0.8007631000000001,0.0,0.07010760109189723,0.07010760109189723,0.634,3.2159813000412503,3.0170999999999992,0.08467110228024392,0.08467110228024392,0.027,3.0964605,2.846649999999997,0.08484730013525725,0.08484730013525725,0.039,5751.39862537384,585.8735792636871,68,761,870,723,833,838,778,290,324
7,scheduled,17.315648992753434,14.47627260149358,1.1690777000000003,3.552713678800501e-15,0.03895497742019953,0.03895497742019953,0.595,0.5897288,0.0,0.03238057983964536,0.03238057983964536,0.774,1.1325626999999998,0.0,0.0644546644734214,0.0644546644734214,0.604,1.2469924999999997,0.0,0.08173328794319713,0.08173328794319713,0.654,0.6969971,0.0,0.036208059692483495,0.036208059692483495,0.779,0.9500739000000001,0.0,0.08379971708986608,0.08379971708986608,0.617,4.01724230004125,3.7183999999999973,0.10588067566172987,0.10588067566172987,0.017,4.0546347,3.7083999999999975,0.11124523278514863,0.11124523278514863,0.031,5105.073042154312,507.9710671901703,0,725,851,745,777,839,752,172,188
