,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,TSP 1 Best Regret Count
0,separated,"[56.34416880009972, 56.49815676047573, 55.866876153716376, 47.4599818254395]","[48.73645655683028, 48.902506560732036, 48.114152088356676, 41.05118624515367]",0.8671829,0.0,0.0,0.02784425723479714,0.648,0.5261364,0.0,0.0,0.027541465054667372,0.789,1.1559464,0.0,0.0,0.06397201265520198,0.638,2.2597612000519502,2.054549999999999,0.053459925434107713,0.05835118077853097,0.063,3558.637367248535,366.3817255496979,0,802,872,784,462
1,comb,40.02913869970475,33.91687359180882,0.9031881000000002,0.0,0.02990838956177593,0.02990838956177593,0.642,0.5396362999999998,0.0,0.0288133253674568,0.0288133253674568,0.782,1.0504247,0.0,0.056989064839473656,0.056989064839473656,0.649,2.2925941000519505,2.0562500000000057,0.05916972678764165,0.05916972678764165,0.067,1967.8179097175598,200.2919099330902,152,794,870,786,416
2,gradnorm,40.04132089763541,33.93098653152451,0.9980491000000001,3.552713678800501e-15,0.033613580075856006,0.033613580075856006,0.619,0.5021825,0.0,0.026491382188520717,0.026491382188520717,0.797,1.0567344,0.0,0.05800907079303238,0.05800907079303238,0.658,2.38977620005195,2.1003000000000007,0.0619478893477894,0.0619478893477894,0.053,2318.733010292053,237.00845217704773,162,776,883,799,364
3,scheduled,39.461214669652094,33.36689502139392,0.8252441000000001,0.0,0.027556350908610805,0.027556350908610805,0.663,0.5190707999999999,0.0,0.027598624024603953,0.027598624024603953,0.798,1.0930807999999999,0.0,0.059751662443320426,0.059751662443320426,0.661,2.52948610005195,2.2040499999999987,0.06531212156900155,0.06531212156900155,0.057,2465.855700492859,252.68050456047058,690,809,889,796,376
