,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count
0,separated,"[56.94983511132309, 56.55132007006926, 56.15663203434291, 57.046771109616195, 56.96460133444555, 56.5144091990246, 50.9024474632736, 51.8799833633139]","[49.195656764282646, 48.80309165550129, 48.59477776745929, 49.257849343274046, 49.31207911856788, 49.108010721941625, 44.283060867473566, 45.217049777693134]",1.6875656000000003,3.552713678800501e-15,1.480032328221913e-16,0.05599385551112269,0.559,0.8533918,0.0,0.0,0.04911639175978725,0.743,1.9888856000000001,3.552713678800501e-15,1.9275435821809518e-16,0.11380134644058645,0.519,1.7948377,0.0,0.0,0.11352599468497002,0.606,1.2877981,0.0,0.0,0.07045912624675182,0.744,1.4505583999999998,0.0,0.0,0.12925654572257572,0.583,6.6565771000412495,6.080150000000003,0.1559151140009041,0.17716994591190885,0.011,6.357412899999999,5.620299999999993,0.15278583532421314,0.17559668664846892,0.009,3416.6493587493896,380.4405560493469,0,808,881,747,851,904,802,279,272
1,comb,32.49609576671665,26.80770063687498,1.6320693000000004,3.552713678800501e-15,0.054346533146804606,0.054346533146804606,0.576,0.7272825,0.0,0.03965978232945369,0.03965978232945369,0.763,1.5029728,0.0,0.08434688342110593,0.08434688342110593,0.588,1.4550246999999998,0.0,0.09104158300404751,0.09104158300404751,0.644,1.1448933000000001,0.0,0.06219750946043378,0.06219750946043378,0.754,1.1288373999999999,0.0,0.09761760495741703,0.09761760495741703,0.595,5.55898680004125,4.890699999999999,0.14697031487507667,0.14697031487507667,0.016,5.7469326,5.0476000000000045,0.1581360652717447,0.1581360652717447,0.019,2914.798999786377,330.1382186412811,524,848,894,832,899,920,811,422,363
2,gradnorm,32.73837497523763,27.064684164429483,1.5378684000000002,3.552713678800501e-15,0.05122826624399616,0.05122826624399616,0.579,0.7675487000000001,0.0,0.044054954591526155,0.044054954591526155,0.746,1.8655371999999997,1.7763568394002505e-15,0.1064161108105341,0.1064161108105341,0.55,1.5581003,0.0,0.10058265658379528,0.10058265658379528,0.628,1.1883553999999998,0.0,0.06398966994563668,0.06398966994563668,0.76,1.3198568,0.0,0.11790606704007424,0.11790606704007424,0.559,6.74084360004125,5.932850000000002,0.1784919835520946,0.1784919835520946,0.009,5.8504504,5.114799999999999,0.16130993203608926,0.16130993203608926,0.018,3305.9105536937714,361.73968029022217,431,850,875,782,874,932,775,279,345
3,scheduled,34.09078801696978,28.48027929773751,1.5615234000000002,3.552713678800501e-15,0.05178318268834368,0.05178318268834368,0.565,0.7952376,0.0,0.04529179190003201,0.04529179190003201,0.748,1.6197154,0.0,0.09127202949955646,0.09127202949955646,0.569,1.4928934,0.0,0.0953379686624877,0.0953379686624877,0.625,1.2889198000000002,0.0,0.06775509957199685,0.06775509957199685,0.741,1.2984342999999998,0.0,0.11395105470525255,0.11395105470525255,0.593,6.55660720004125,5.708549999999999,0.17397671938562403,0.17397671938562403,0.01,6.0662497,5.310799999999993,0.16791229742689434,0.16791229742689434,0.014,3085.540453195572,332.5343859195709,45,832,881,803,886,906,811,269,337
