,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,SP 7 Avg Regret,SP 7 Med Regret,SP 7 Avg Relative Regret,SP 7 Med Relative Regret,SP 7 Optimality Rate,SP 8 Avg Regret,SP 8 Med Regret,SP 8 Avg Relative Regret,SP 8 Med Relative Regret,SP 8 Optimality Rate,SP 9 Avg Regret,SP 9 Med Regret,SP 9 Avg Relative Regret,SP 9 Med Relative Regret,SP 9 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,TSP 3 Avg Regret,TSP 3 Med Regret,TSP 3 Avg Relative Regret,TSP 3 Med Relative Regret,TSP 3 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,SP 7 Best Regret Count,SP 8 Best Regret Count,SP 9 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count,TSP 3 Best Regret Count
0,mse,7.116841609296249,5.1929045893167975,1.7762552,0.31759999999999877,0.060763477487742946,0.060763477487742946,0.473,1.097344,0.0,0.06165584284415544,0.06165584284415544,0.71,2.1811442000000003,0.4687499999999991,0.12691411925209467,0.12691411925209467,0.472,1.6880597,0.0,0.11532110697561596,0.11532110697561596,0.575,2.3431911999999997,0.16915000000000013,0.13164237378327698,0.13164237378327698,0.486,1.9934793,0.20110000000000028,0.1998024330996427,0.1998024330996427,0.482,1.5410572000000002,1.7763568394002505e-15,0.10736851248893159,0.10736851248893159,0.584,1.7118357999999998,3.552713678800501e-15,0.06435001936376347,0.06435001936376347,0.541,2.1896065,0.841700000000003,0.11403099691848864,0.11403099691848864,0.42,4.40359390005195,4.2273,0.11625781947693811,0.11625781947693811,0.015,4.3253598,4.029499999999999,0.11913000213140601,0.11913000213140601,0.013,6.282515700064194,6.112050000000007,0.1493300761469474,0.1493300761469474,0.001,1.8462471961975098,0.0999445915222168,998,568,776,559,661,524,559,659,617,505,70,54,10
1,separated,"[55.490831599933614, 56.00015188370366, 56.16172395923665, 56.53097416168951, 56.428521159613275, 55.618231217640314, 56.350667564566464, 55.64555252717542, 56.141473765271904, 46.69230637451017, 48.93028820532627, 41.88102288597999]","[48.22265135794034, 48.84236893096629, 48.86177636414304, 49.19006772123413, 49.02950405485757, 48.793566007124056, 48.944796763903696, 48.36948886674002, 48.75938477577854, 40.528951710107464, 41.94840115660671, 35.68050443602532]",0.8339948,0.0,0.0,0.0273868613756508,0.636,0.41691939999999994,0.0,0.0,0.02194323709685791,0.809,0.7479617000000001,0.0,0.0,0.0403167592743195,0.683,0.6208578,0.0,0.0,0.03625031138292375,0.748,0.3489572999999999,0.0,0.0,0.018410228187304107,0.841,0.6262600999999999,0.0,0.0,0.05371960543729712,0.699,0.6091510000000001,0.0,0.0,0.039673935277724566,0.744,0.7685725999999999,0.0,0.0,0.027379126542943236,0.699,0.8277686000000001,0.0,0.0,0.04043198852750835,0.66,2.19860550005195,1.9359000000000002,0.051857611183388164,0.05728932760838144,0.058,2.0830405,1.9626999999999981,0.05396263127691997,0.05679669076364948,0.077,2.6237281000641937,2.389649999999996,0.057328828346888586,0.061490101285524304,0.03,10336.744028806686,1048.9799473285675,0,764,884,810,849,891,816,838,800,775,285,299,247
2,separated+mse,"[7.738352160332903, 8.458849462565725, 8.168075830686917, 8.289126976729698, 8.318626995910101, 8.250062685917456, 7.943568862580024, 8.134073267823743, 8.165966557602497, 7.795200401424585, 7.650004033625604, 7.999688269830477]","[5.738632279888376, 6.417498066324425, 6.216551050202861, 6.288874566831144, 6.388631726880238, 6.233675024412921, 5.977240776323517, 6.163954784513173, 6.148639718365042, 5.856941535294103, 5.6691993752555305, 5.991396540571392]",0.7288888000000001,0.0,0.0,0.02361448429762018,0.659,0.3981623999999999,0.0,0.0,0.02076663653322186,0.804,0.7530271000000002,0.0,0.0,0.040618148254194644,0.682,0.6847665,0.0,0.0,0.040389624152333256,0.747,0.3183738,0.0,0.0,0.01623527086849674,0.838,0.6758848000000001,0.0,0.0,0.057978466161559494,0.683,0.6387216000000001,0.0,0.0,0.04167567364074389,0.741,0.8439452999999999,0.0,0.0,0.030101108570239208,0.687,0.833941,0.0,0.0,0.04066123970011335,0.647,2.1642964000519496,1.9001499999999965,0.049858100056969785,0.056431052490281276,0.057,2.02526,1.807650000000006,0.04938012244856628,0.05530782271550583,0.084,2.5903249000641937,2.3557500000000076,0.056053950372145736,0.060840620055641344,0.03,9506.692996025085,966.9984848499298,0,788,880,803,852,890,800,834,794,770,283,338,265
3,comb,29.23561336977171,26.892386521322454,0.8068589,0.0,0.02721812995164926,0.02721812995164926,0.645,0.4307050999999999,0.0,0.02274775226459618,0.02274775226459618,0.808,0.8395448,0.0,0.04535464625145998,0.04535464625145998,0.678,0.5564167,0.0,0.03238725303933983,0.03238725303933983,0.763,0.27089379999999996,0.0,0.013890201669743103,0.013890201669743103,0.837,0.7204094999999999,0.0,0.06274619765294437,0.06274619765294437,0.681,0.6785397000000001,0.0,0.04498554794453356,0.04498554794453356,0.726,0.8415751,0.0,0.030937884639673587,0.030937884639673587,0.688,0.8203336,0.0,0.040232008740336424,0.040232008740336424,0.658,2.0700860000519503,1.8341999999999992,0.05354380332244174,0.05354380332244174,0.069,2.0520289000000003,1.7963000000000022,0.05560584194710576,0.05560584194710576,0.078,2.5255511000641935,2.270000000000003,0.05895990918451267,0.05895990918451267,0.034,13574.669988155365,1378.237478017807,0,770,884,788,871,894,790,821,792,764,320,319,294
4,comb+mse,14.635035440222989,12.484826942945414,0.8762254,0.0,0.029393879134504346,0.029393879134504346,0.643,0.42892489999999994,0.0,0.022822813012539137,0.022822813012539137,0.809,0.7765465,0.0,0.04156578082556567,0.04156578082556567,0.696,0.6036752,0.0,0.03610959176562389,0.03610959176562389,0.747,0.3164474999999999,0.0,0.015830108681098378,0.015830108681098378,0.838,0.6536444,0.0,0.05931506606195348,0.05931506606195348,0.682,0.7156655000000001,0.0,0.04664184601307143,0.04664184601307143,0.723,0.7766064999999999,0.0,0.027851637500482206,0.027851637500482206,0.682,0.9181401000000001,0.0,0.04479395624569807,0.04479395624569807,0.618,2.14781690005195,1.9522000000000013,0.05567657282669914,0.05567657282669914,0.066,2.1039353999999997,1.8636000000000017,0.05712623795870432,0.05712623795870432,0.079,2.529195300064194,2.297050000000006,0.05909953116148938,0.05909953116148938,0.034,10860.474167823792,1104.352062702179,0,769,885,813,859,893,800,819,791,729,295,308,277
5,gradnorm,23.79572932455827,20.927751806348322,0.7825459000000001,0.0,0.026564824720182265,0.026564824720182265,0.664,0.42144099999999995,0.0,0.022253843985125456,0.022253843985125456,0.815,0.8285438000000002,0.0,0.04482475825418707,0.04482475825418707,0.681,0.5685005000000001,0.0,0.033353908993501456,0.033353908993501456,0.757,0.29099289999999994,0.0,0.015129015304603968,0.015129015304603968,0.839,0.6683159999999999,0.0,0.05993372298766041,0.05993372298766041,0.683,0.6419937,0.0,0.0422641914030347,0.0422641914030347,0.743,0.8339806999999998,0.0,0.029922617382743814,0.029922617382743814,0.68,0.8501674,0.0,0.04085956194026174,0.04085956194026174,0.644,2.14351870005195,1.9103999999999992,0.05556296413524865,0.05556296413524865,0.065,2.0593228,1.7425999999999995,0.055555426310377534,0.055555426310377534,0.088,2.617908400064194,2.2864500000000056,0.061036275409381203,0.061036275409381203,0.036,9521.921334505081,961.4248237609863,0,792,889,797,863,893,797,837,783,758,281,334,287
6,gradnorm+mse,8.986800413362037,6.3609914869891,0.8192441000000001,0.0,0.026547192202217722,0.026547192202217722,0.649,0.4463174999999999,0.0,0.023668412930282556,0.023668412930282556,0.809,0.791867,0.0,0.04316288913654006,0.04316288913654006,0.671,0.6449174000000001,0.0,0.03938697940766761,0.03938697940766761,0.738,0.3230485,0.0,0.016912345421413948,0.016912345421413948,0.827,0.6807265,0.0,0.06014784372623811,0.06014784372623811,0.673,0.6518058000000001,0.0,0.04213939185341026,0.04213939185341026,0.742,0.8258805,0.0,0.02986558861215944,0.02986558861215944,0.678,0.8567331999999999,0.0,0.041648805290776705,0.041648805290776705,0.631,2.2927851000519506,2.0458,0.05972616070098559,0.05972616070098559,0.055,2.042262,1.837899999999994,0.055646740725940703,0.055646740725940703,0.073,2.764946900064194,2.5242499999999986,0.06507517902303338,0.06507517902303338,0.026,7716.1736652851105,783.191534280777,2,769,882,789,847,881,791,831,782,741,249,326,208
7,scheduled,17.02741810904646,15.161784755510467,0.7630893000000001,0.0,0.025344986659814026,0.025344986659814026,0.663,0.4154308,0.0,0.02166733616158411,0.02166733616158411,0.811,0.8272458000000001,0.0,0.04445808066248291,0.04445808066248291,0.678,0.6280916999999999,0.0,0.03682122304515114,0.03682122304515114,0.748,0.375889,0.0,0.019753320243885774,0.019753320243885774,0.818,0.753137,0.0,0.06726809924379756,0.06726809924379756,0.659,0.6717234,0.0,0.04374225607668919,0.04374225607668919,0.734,0.8858625,0.0,0.03172404620550318,0.03172404620550318,0.664,0.8997901000000001,0.0,0.04351271685823309,0.04351271685823309,0.643,2.2570985000519506,2.0411000000000037,0.05857651547854366,0.05857651547854366,0.06,2.202864,1.9356000000000009,0.05983746054405714,0.05983746054405714,0.062,2.801677100064194,2.478349999999999,0.06542982892543693,0.06542982892543693,0.025,7240.451952934265,736.471822977066,0,790,882,791,852,868,776,829,766,754,279,287,239
