,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,SP 7 Avg Regret,SP 7 Med Regret,SP 7 Avg Relative Regret,SP 7 Med Relative Regret,SP 7 Optimality Rate,SP 8 Avg Regret,SP 8 Med Regret,SP 8 Avg Relative Regret,SP 8 Med Relative Regret,SP 8 Optimality Rate,SP 9 Avg Regret,SP 9 Med Regret,SP 9 Avg Relative Regret,SP 9 Med Relative Regret,SP 9 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,TSP 3 Avg Regret,TSP 3 Med Regret,TSP 3 Avg Relative Regret,TSP 3 Med Relative Regret,TSP 3 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,SP 7 Best Regret Count,SP 8 Best Regret Count,SP 9 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count,TSP 3 Best Regret Count
0,separated,"[56.90421484967629, 56.55650881852633, 56.48335225061135, 56.98384961060912, 56.73532711959373, 56.54611821074464, 57.01774436695459, 56.82151061760319, 56.41797448403898, 50.23287460194297, 54.252490878317985, 46.85666297722772]","[49.15924831948322, 48.85029294354869, 48.91690801189573, 49.233170725739065, 49.15914233142616, 49.060193195905384, 49.398364672383806, 49.294580872805106, 48.79211589680209, 43.594414947465644, 47.213041597481194, 40.77180939643341]",1.6360732000000002,3.552713678800501e-15,1.4343248441816306e-16,0.05373246789369745,0.577,0.9110965,0.0,0.0,0.05115769070906758,0.724,2.2159226,3.552713678800501e-15,1.6239235332192372e-16,0.12485595516248164,0.53,1.8321774,0.0,0.0,0.11738059731115927,0.612,1.2233091,0.0,0.0,0.06738077830836048,0.759,1.5820142000000001,0.0,0.0,0.13783367967785545,0.582,1.1087075,0.0,0.0,0.06984110886434146,0.68,1.6291166999999995,0.0,0.0,0.05720971406782918,0.621,2.4344506,0.20224999999999937,0.008921765323526263,0.11916172223431551,0.475,6.14862800004125,5.613750000000003,0.14348994624982592,0.1626344614160845,0.011,6.5854778000000005,5.851200000000002,0.15940167986630577,0.18181729983897185,0.011,8.233613300126901,7.491000000000003,0.17743687431402305,0.19552163621121565,0.001,5235.21449303627,591.8474717140198,0,835,861,728,854,891,814,840,805,707,263,254,207
1,comb,26.953904415945733,21.92425848001991,1.7901575000000003,3.552713678800501e-15,0.05950440374094212,0.05950440374094212,0.545,0.7265253,0.0,0.04002553969876268,0.04002553969876268,0.759,1.5007433999999997,0.0,0.08393463903019152,0.08393463903019152,0.593,1.4193701,0.0,0.09156168225451271,0.09156168225451271,0.634,1.0656398000000002,0.0,0.05733393665369367,0.05733393665369367,0.75,1.1783484,0.0,0.1068580595656133,0.1068580595656133,0.568,1.3018632,0.0,0.08224359445223817,0.08224359445223817,0.676,1.5764111999999997,0.0,0.05253057755892129,0.05253057755892129,0.631,2.0739071000000004,3.552713678800501e-15,0.0997514270354991,0.0997514270354991,0.515,5.092972500041251,4.59075,0.13460694350213173,0.13460694350213173,0.02,5.2880636,4.70055,0.1456355864805684,0.1456355864805684,0.018,6.5913978001269005,6.0347999999999935,0.1557090642996618,0.1557090642996618,0.002,5574.436203479767,613.5294561386108,313,801,895,812,884,894,801,836,818,747,390,395,344
2,gradnorm,26.23773554063042,20.590536150229383,1.6393258000000004,3.552713678800501e-15,0.05408433791969936,0.05408433791969936,0.563,0.8493356000000001,0.0,0.04788302707628765,0.04788302707628765,0.734,1.4757251999999998,0.0,0.0827777779416533,0.0827777779416533,0.577,1.5961677,0.0,0.10223299445276916,0.10223299445276916,0.628,0.8336285,0.0,0.04305543941391525,0.04305543941391525,0.78,1.2799186,0.0,0.11491688936358473,0.11491688936358473,0.58,1.0303615,0.0,0.06477460401765822,0.06477460401765822,0.684,1.5862942999999998,0.0,0.05317698975379656,0.05317698975379656,0.63,1.8655834999999998,3.552713678800501e-15,0.08817382829364866,0.08817382829364866,0.527,5.5356023000412495,4.876199999999997,0.1463863135778546,0.1463863135778546,0.015,5.353607200000001,4.808900000000001,0.1473239874423666,0.1473239874423666,0.02,7.1613424001269,6.587799999999998,0.16926235350266433,0.16926235350266433,0.001,3932.774470090866,441.19899225234985,676,825,862,791,880,939,817,842,821,770,320,346,260
3,scheduled,35.88050165999863,31.862503856052086,1.7569572000000002,3.552713678800501e-15,0.058554648346871616,0.058554648346871616,0.553,1.0249486,0.0,0.05932110598536097,0.05932110598536097,0.703,1.4545659,0.0,0.08083252945179106,0.08083252945179106,0.583,1.4413281999999998,0.0,0.09338894019686142,0.09338894019686142,0.637,0.8621678,0.0,0.04493529103337248,0.04493529103337248,0.764,1.3919596,0.0,0.12737025151800804,0.12737025151800804,0.557,1.1650036,0.0,0.07390724910795182,0.07390724910795182,0.678,1.6198165999999996,3.552713678800501e-15,0.05685526055790835,0.05685526055790835,0.601,2.0572034999999995,3.552713678800501e-15,0.09833285983393117,0.09833285983393117,0.524,5.626297300041251,5.071650000000002,0.14905674078014838,0.14905674078014838,0.015,5.4238567,4.778050000000004,0.14963741782215564,0.14963741782215564,0.024,6.732384400126901,6.214749999999995,0.1590550700450844,0.1590550700450844,0.003,8213.725034475327,858.7670438289642,11,815,824,803,885,915,791,842,784,752,297,351,329
