,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count
0,separated,"[56.61526196707322, 56.63968080905786, 56.07728734561747, 56.67110089936838, 56.66737370190654, 55.84979346535052, 47.413043986861496, 49.44348701001533]","[49.01265642815201, 48.92177790982677, 48.29488592962704, 48.934598956838606, 48.79583480259811, 48.35412818570446, 40.94955566403769, 42.327054282798095]",0.8856035000000001,0.0,0.0,0.02955983547645094,0.641,0.5945377,0.0,0.0,0.03154853713886728,0.781,1.0240859,0.0,0.0,0.054128336545638464,0.664,0.8717555,0.0,0.0,0.05051207150638431,0.721,0.4251104999999999,0.0,0.0,0.02200995332191316,0.83,0.8607756,0.0,0.0,0.07092975061507481,0.666,2.1785531000519502,1.9734499999999962,0.051595335704603465,0.05635990828286522,0.064,2.0770733,1.76445,0.049047459354554304,0.056120732755886873,0.08,4918.097189903259,504.6416549682617,0,785,871,833,855,923,808,451,464
1,comb,28.43154510520403,22.8979168704478,1.0029987,0.0,0.03333784891600004,0.03333784891600004,0.646,0.4269987,0.0,0.02294631378270609,0.02294631378270609,0.797,1.0037506999999999,0.0,0.053908473419357616,0.053908473419357616,0.655,0.5994046000000001,0.0,0.03498228543941494,0.03498228543941494,0.747,0.3483397,0.0,0.017370911551641777,0.017370911551641777,0.833,0.8776174000000001,0.0,0.07269433510511648,0.07269433510511648,0.651,2.36701430005195,2.098949999999995,0.061188418576383116,0.061188418576383116,0.068,2.2759483,1.977599999999999,0.061652824148641115,0.061652824148641115,0.072,10252.044080018997,1048.9139833450317,608,781,892,823,888,924,799,390,404
2,gradnorm,29.624191752218444,23.60332425520073,0.9366618000000001,1.7763568394002505e-15,0.03157043653546117,0.03157043653546117,0.633,0.5676049,0.0,0.030370907111667005,0.030370907111667005,0.78,1.0099199,0.0,0.05511035034852961,0.05511035034852961,0.667,0.7635309,0.0,0.04526265264120494,0.04526265264120494,0.728,0.34321719999999994,0.0,0.017742861738678457,0.017742861738678457,0.833,1.004616,0.0,0.08671516975538658,0.08671516975538658,0.64,2.56514340005195,2.2405000000000044,0.06639539290626649,0.06639539290626649,0.051,2.2635365000000003,1.9884000000000004,0.061448327126174346,0.061448327126174346,0.074,4240.104795694351,433.2839250564575,392,774,868,837,863,928,783,347,419
3,scheduled,31.030692240911414,25.03279864732973,0.8300615000000002,0.0,0.0282430882063161,0.0282430882063161,0.665,0.5192236999999998,0.0,0.0272010711515847,0.0272010711515847,0.783,0.9544472000000002,0.0,0.051703396502355045,0.051703396502355045,0.665,0.6882303000000001,0.0,0.0410354259580892,0.0410354259580892,0.731,0.4509674999999999,0.0,0.02439793479021523,0.02439793479021523,0.823,0.8647987,0.0,0.07329112336005085,0.07329112336005085,0.654,2.6302417000519505,2.3310499999999994,0.06783748524983985,0.06783748524983985,0.054,2.4356916,2.0838999999999963,0.06587723316052277,0.06587723316052277,0.065,2140.2330067157745,217.81208086013794,1,809,873,841,871,912,801,338,379
