,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,SP 7 Avg Regret,SP 7 Med Regret,SP 7 Avg Relative Regret,SP 7 Med Relative Regret,SP 7 Optimality Rate,SP 8 Avg Regret,SP 8 Med Regret,SP 8 Avg Relative Regret,SP 8 Med Relative Regret,SP 8 Optimality Rate,SP 9 Avg Regret,SP 9 Med Regret,SP 9 Avg Relative Regret,SP 9 Med Relative Regret,SP 9 Optimality Rate,SP 10 Avg Regret,SP 10 Med Regret,SP 10 Avg Relative Regret,SP 10 Med Relative Regret,SP 10 Optimality Rate,SP 11 Avg Regret,SP 11 Med Regret,SP 11 Avg Relative Regret,SP 11 Med Relative Regret,SP 11 Optimality Rate,SP 12 Avg Regret,SP 12 Med Regret,SP 12 Avg Relative Regret,SP 12 Med Relative Regret,SP 12 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,TSP 3 Avg Regret,TSP 3 Med Regret,TSP 3 Avg Relative Regret,TSP 3 Med Relative Regret,TSP 3 Optimality Rate,TSP 4 Avg Regret,TSP 4 Med Regret,TSP 4 Avg Relative Regret,TSP 4 Med Relative Regret,TSP 4 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,SP 7 Best Regret Count,SP 8 Best Regret Count,SP 9 Best Regret Count,SP 10 Best Regret Count,SP 11 Best Regret Count,SP 12 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count,TSP 3 Best Regret Count,TSP 4 Best Regret Count
0,separated,"[56.594610873121724, 56.63968080905786, 56.07728734561747, 56.67110089936838, 56.66737370190654, 55.84979346535052, 56.99105656632526, 56.39545121384025, 56.15409455644082, 57.14658616185482, 55.73162058342512, 57.184839017092365, 47.608530779522226, 49.41477908641659, 42.80857657356039, 44.58536244487823]","[49.01270436873273, 48.92177790982677, 48.29488592962704, 48.934598956838606, 48.79583480259811, 48.35412818570446, 49.26486085555433, 48.682323495804674, 48.632798180179606, 49.260337010082324, 48.42725263220618, 49.30652406017897, 41.08448998008381, 42.198062266917056, 36.3652836752105, 37.76014280041011]",0.8681138,0.0,0.0,0.028840429802645062,0.652,0.5945377,0.0,0.0,0.03154853713886728,0.781,1.0240859,0.0,0.0,0.054128336545638464,0.664,0.8717555,0.0,0.0,0.05051207150638431,0.721,0.4251104999999999,0.0,0.0,0.02200995332191316,0.83,0.8607756,0.0,0.0,0.07092975061507481,0.666,0.6608956,0.0,0.0,0.04255758695364582,0.738,1.0797155999999999,0.0,0.0,0.038948763457800836,0.662,1.0227618,0.0,0.0,0.05033114893990104,0.617,0.4638678,0.0,0.0,0.029861427159905574,0.824,0.8596749,0.0,0.0,0.054530425776717434,0.7,0.5781314999999999,0.0,0.0,0.03475107370760654,0.816,2.2340935000519497,2.0195999999999934,0.05264196993471737,0.05771061286459467,0.07,2.2304015,1.9854500000000002,0.05443081632549705,0.0606152234481981,0.072,2.6434437000641937,2.392999999999997,0.05747672605680397,0.06166618090834513,0.033,2.5223564001129,2.2267499999999956,0.05418027220042736,0.06176509032622417,0.056,9690.342193126678,996.3588683605194,0,802,876,822,847,919,822,854,800,776,912,824,901,399,423,364,414
1,comb,20.462641418530325,15.731428558930578,0.8996588000000002,0.0,0.030248279366655636,0.030248279366655636,0.664,0.5495565,0.0,0.02896806194153846,0.02896806194153846,0.784,0.9970782000000001,0.0,0.05387694255882294,0.05387694255882294,0.667,0.6470818,0.0,0.038289003323820625,0.038289003323820625,0.741,0.42700609999999994,0.0,0.02212296663130773,0.02212296663130773,0.821,0.8009834,0.0,0.06725171624972173,0.06725171624972173,0.676,0.8124792,0.0,0.05218145482128244,0.05218145482128244,0.719,0.9972806000000001,0.0,0.03557152116784612,0.03557152116784612,0.668,0.8516194,0.0,0.042316079241744665,0.042316079241744665,0.638,0.5666911000000001,0.0,0.03802130161172609,0.03802130161172609,0.785,1.0008016,0.0,0.06012241996268827,0.06012241996268827,0.689,0.5663423000000001,0.0,0.03235052523552592,0.03235052523552592,0.819,2.32000480005195,2.0118500000000026,0.060036269682676606,0.060036269682676606,0.062,2.246085,1.996800000000004,0.06088292215358939,0.06088292215358939,0.074,2.7407326000641934,2.4505000000000052,0.06407919108446362,0.06407919108446362,0.029,2.7559686001129005,2.353500000000004,0.06752522838630463,0.06752522838630463,0.038,20187.2581679821,2064.6997108459473,356,818,881,816,878,910,835,844,804,806,875,805,907,404,410,335,366
2,gradnorm,21.345749869693474,15.895802494767548,0.9750747,0.0,0.03232866202706295,0.03232866202706295,0.637,0.5856316999999999,0.0,0.03073034091961562,0.03073034091961562,0.777,1.0570694,0.0,0.05626603237386043,0.05626603237386043,0.663,0.7167827,0.0,0.04309663713093524,0.04309663713093524,0.725,0.42042479999999993,0.0,0.02102736407717042,0.02102736407717042,0.83,0.75289,0.0,0.06364669091545971,0.06364669091545971,0.686,0.7858214,0.0,0.050761712428269316,0.050761712428269316,0.718,1.0653299,0.0,0.036363818006557386,0.036363818006557386,0.673,0.9707729,0.0,0.047132220307605874,0.047132220307605874,0.636,0.5958404,0.0,0.037842885833784506,0.037842885833784506,0.802,0.8141092999999999,0.0,0.0509309746860127,0.0509309746860127,0.687,0.5159460999999999,0.0,0.02921200534002363,0.02921200534002363,0.82,2.50861720005195,2.161100000000001,0.064951271248633,0.064951271248633,0.057,2.4204478,2.0666500000000028,0.06557690710860811,0.06557690710860811,0.059,3.0871742000641933,2.714000000000002,0.07233975573330557,0.07233975573330557,0.021,3.0597743001129003,2.7371499999999997,0.07537609628854425,0.07537609628854425,0.031,6490.006913900375,662.4115216732025,21,780,871,815,857,915,839,834,809,796,887,808,911,355,359,280,311
3,scheduled,19.97576828923997,14.571649916326292,0.9559351000000001,0.0,0.03204570692861829,0.03204570692861829,0.65,0.5363933999999999,0.0,0.02839280993021303,0.02839280993021303,0.777,0.9915854999999999,0.0,0.053330460377917985,0.053330460377917985,0.656,0.7072168000000001,0.0,0.04113558089864003,0.04113558089864003,0.742,0.40060369999999995,0.0,0.020617763715872137,0.020617763715872137,0.829,0.8244551,0.0,0.06988073638635776,0.06988073638635776,0.669,0.7086874000000001,0.0,0.04651426740184797,0.04651426740184797,0.729,1.2537572999999997,0.0,0.04545948973287334,0.04545948973287334,0.638,1.0441379000000002,0.0,0.05134268855201771,0.05134268855201771,0.619,0.5424706000000001,0.0,0.036546785724164255,0.036546785724164255,0.792,0.8680694999999999,0.0,0.05365408588204294,0.05365408588204294,0.698,0.578998,0.0,0.03272616015865549,0.03272616015865549,0.821,2.42511260005195,2.133749999999999,0.0628797006741145,0.0628797006741145,0.06,2.3861659,2.0240500000000026,0.06466572723589314,0.06466572723589314,0.076,2.9590048000641938,2.6773000000000025,0.06900343386812821,0.06900343386812821,0.029,2.9163788001129007,2.570300000000003,0.07150548889071083,0.07150548889071083,0.031,6251.5705716609955,643.4387631416321,623,796,878,804,881,918,825,853,769,781,885,807,909,357,375,319,294
