,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,SP 7 Avg Regret,SP 7 Med Regret,SP 7 Avg Relative Regret,SP 7 Med Relative Regret,SP 7 Optimality Rate,SP 8 Avg Regret,SP 8 Med Regret,SP 8 Avg Relative Regret,SP 8 Med Relative Regret,SP 8 Optimality Rate,SP 9 Avg Regret,SP 9 Med Regret,SP 9 Avg Relative Regret,SP 9 Med Relative Regret,SP 9 Optimality Rate,SP 10 Avg Regret,SP 10 Med Regret,SP 10 Avg Relative Regret,SP 10 Med Relative Regret,SP 10 Optimality Rate,SP 11 Avg Regret,SP 11 Med Regret,SP 11 Avg Relative Regret,SP 11 Med Relative Regret,SP 11 Optimality Rate,SP 12 Avg Regret,SP 12 Med Regret,SP 12 Avg Relative Regret,SP 12 Med Relative Regret,SP 12 Optimality Rate,SP 13 Avg Regret,SP 13 Med Regret,SP 13 Avg Relative Regret,SP 13 Med Relative Regret,SP 13 Optimality Rate,SP 14 Avg Regret,SP 14 Med Regret,SP 14 Avg Relative Regret,SP 14 Med Relative Regret,SP 14 Optimality Rate,SP 15 Avg Regret,SP 15 Med Regret,SP 15 Avg Relative Regret,SP 15 Med Relative Regret,SP 15 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,TSP 3 Avg Regret,TSP 3 Med Regret,TSP 3 Avg Relative Regret,TSP 3 Med Relative Regret,TSP 3 Optimality Rate,TSP 4 Avg Regret,TSP 4 Med Regret,TSP 4 Avg Relative Regret,TSP 4 Med Relative Regret,TSP 4 Optimality Rate,TSP 5 Avg Regret,TSP 5 Med Regret,TSP 5 Avg Relative Regret,TSP 5 Med Relative Regret,TSP 5 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,SP 7 Best Regret Count,SP 8 Best Regret Count,SP 9 Best Regret Count,SP 10 Best Regret Count,SP 11 Best Regret Count,SP 12 Best Regret Count,SP 13 Best Regret Count,SP 14 Best Regret Count,SP 15 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count,TSP 3 Best Regret Count,TSP 4 Best Regret Count,TSP 5 Best Regret Count
0,separated,"[56.46616450830114, 56.679809440475644, 55.95566936729349, 56.60376731765132, 56.49488339494415, 56.2683925218953, 56.92325546946907, 56.635317968520134, 55.62993875535146, 57.3035755757041, 55.80999873526344, 56.99993199882997, 56.448021138648535, 56.60947112673594, 56.58768621873169, 47.40060497526807, 49.531489919430776, 42.81328458726271, 44.43382644892959, 45.02153274031718]","[48.87375478215695, 49.01405041455811, 48.12347993187434, 48.83167308453258, 48.55467099914878, 48.57813557921822, 49.23124039604288, 48.973017750915716, 48.15000604191738, 49.37436341959204, 48.43842419480909, 49.10881134962227, 48.8368328635888, 48.94651836163262, 48.60159650921308, 40.900122132827605, 42.43049605138925, 36.215069371915334, 37.586949002638235, 38.66410918393111]",0.8393989999999999,0.0,0.0,0.027940620792084033,0.659,0.5716327999999999,0.0,0.0,0.029856947186354083,0.778,1.1115273,0.0,0.0,0.06024873174425124,0.641,0.8641719000000001,0.0,0.0,0.05369365789957135,0.712,0.3475603,0.0,0.0,0.017807414871892763,0.834,0.8262864,0.0,0.0,0.07268671889889586,0.657,0.8387737000000001,0.0,0.0,0.05401602224959892,0.726,1.0717074,0.0,0.0,0.0386869199505248,0.661,0.9793268,0.0,0.0,0.047815971865856725,0.625,0.5431059,0.0,0.0,0.03473709185320395,0.809,0.9717364000000001,0.0,0.0,0.06184753978672549,0.679,0.5293983999999999,0.0,0.0,0.03196398547409019,0.822,0.8199006,0.0,0.0,0.047996285853845966,0.717,0.6301327000000001,0.0,0.0,0.03574534575205607,0.753,0.8356969000000002,0.0,0.0,0.046731078540439994,0.683,2.2207146000519504,1.9878,0.051845308526507344,0.057321602890681264,0.074,2.1952835,1.9457500000000003,0.053088250726725544,0.059440577110405006,0.074,2.6159965000641936,2.326900000000002,0.05505817483290658,0.06075040964632179,0.03,2.4533558001129006,2.075150000000008,0.05134911306694792,0.06019864726488622,0.058,2.3343459,2.0748500000000014,0.0521137741072813,0.05831135842856634,0.047,11862.914230108261,1213.396305322647,0,816,876,808,844,929,811,856,812,804,887,820,912,854,866,839,399,412,384,435,395
1,comb,17.684617584479092,13.005826208596234,0.9441610000000001,0.0,0.03109729782398913,0.03109729782398913,0.646,0.46419109999999997,0.0,0.024216125698008243,0.024216125698008243,0.799,1.068884,0.0,0.05688564708567711,0.05688564708567711,0.662,0.6963292,0.0,0.04169449446232083,0.04169449446232083,0.729,0.4582091,0.0,0.024150862854118132,0.024150862854118132,0.829,0.6752284,0.0,0.057445055667838835,0.057445055667838835,0.703,0.7872327,0.0,0.049997256175363866,0.049997256175363866,0.724,1.1785131000000002,0.0,0.04190412739967342,0.04190412739967342,0.647,1.0633852000000001,0.0,0.05150751703906884,0.05150751703906884,0.619,0.5603917000000002,0.0,0.037442874518521164,0.037442874518521164,0.799,0.8865599999999999,0.0,0.054103345215586685,0.054103345215586685,0.692,0.4769533999999999,0.0,0.027621620027797108,0.027621620027797108,0.84,0.9127179,0.0,0.05511744778462817,0.05511744778462817,0.714,0.6521166,0.0,0.0377078162189146,0.0377078162189146,0.752,0.8879519000000001,0.0,0.047640184436884475,0.047640184436884475,0.681,2.2463043000519503,1.9481000000000073,0.05811450287873423,0.05811450287873423,0.076,2.2443889,1.929350000000003,0.06081355823892414,0.06081355823892414,0.071,2.7296201000641935,2.460050000000006,0.06351683885000448,0.06351683885000448,0.036,2.7920113001129003,2.428449999999998,0.06870291557895233,0.06870291557895233,0.042,2.4848372,2.200249999999997,0.06211942537919412,0.06211942537919412,0.049,15133.450333356857,1556.3941161632538,374,808,893,830,868,923,849,854,790,790,877,841,932,849,867,831,393,411,333,336,360
2,gradnorm,18.234362897939683,13.342413391432322,0.9306654000000001,0.0,0.0315887391969882,0.0315887391969882,0.648,0.4971358,0.0,0.027109367955621515,0.027109367955621515,0.798,0.9855278000000001,0.0,0.05304704536029716,0.05304704536029716,0.67,0.7688588,0.0,0.04487951573495166,0.04487951573495166,0.725,0.3664231,0.0,0.018218006107401947,0.018218006107401947,0.834,0.9267416,0.0,0.0808277280911431,0.0808277280911431,0.655,0.9397416000000001,0.0,0.060786070042733814,0.060786070042733814,0.693,1.091574,0.0,0.039233404418021596,0.039233404418021596,0.652,1.0615639000000001,0.0,0.05152254986580152,0.05152254986580152,0.624,0.5591866999999999,0.0,0.03855042407959343,0.03855042407959343,0.795,1.0744398000000002,0.0,0.06499960618208224,0.06499960618208224,0.668,0.5058545999999999,0.0,0.029601302695697985,0.029601302695697985,0.829,0.8250208,0.0,0.04786453169398517,0.04786453169398517,0.719,0.7565962999999999,0.0,0.044122341578560834,0.044122341578560834,0.74,0.9182186,0.0,0.0509310374446042,0.0509310374446042,0.669,2.45100210005195,2.1278000000000006,0.0636037143109002,0.0636037143109002,0.061,2.3916861,2.0278499999999973,0.06481565244322857,0.06481565244322857,0.076,3.0996611000641936,2.7798500000000033,0.07241777185525936,0.07241777185525936,0.03,3.1468654001129,2.708550000000006,0.07740518069152506,0.07740518069152506,0.038,2.67752,2.3287499999999994,0.06715114169479168,0.06715114169479168,0.045,13377.722424268723,1362.63645529747,34,812,889,836,856,929,800,823,797,798,876,810,919,854,847,815,347,382,279,304,325
3,scheduled,17.60438779027618,12.690495634455129,1.0044057000000002,0.0,0.03366501062403765,0.03366501062403765,0.63,0.4493034,0.0,0.023962628633357623,0.023962628633357623,0.809,1.1814636,0.0,0.06343492843005674,0.06343492843005674,0.647,0.6874759,0.0,0.040771419790146694,0.040771419790146694,0.734,0.45012630000000003,0.0,0.02234902606321014,0.02234902606321014,0.817,0.7612503999999999,0.0,0.06373698506779245,0.06373698506779245,0.676,0.8089787,0.0,0.05192855410893337,0.05192855410893337,0.732,1.1692922,0.0,0.03992036886721695,0.03992036886721695,0.658,1.0519019,0.0,0.05104108809596229,0.05104108809596229,0.617,0.5816879000000001,0.0,0.03815016474011899,0.03815016474011899,0.79,1.0876336,0.0,0.06503712870649456,0.06503712870649456,0.684,0.5410451000000001,0.0,0.031634711684626886,0.031634711684626886,0.831,1.0245084,0.0,0.059810507178445556,0.059810507178445556,0.689,0.6852944999999999,0.0,0.03988427470842619,0.03988427470842619,0.748,0.8734545,0.0,0.048094480533953,0.048094480533953,0.678,2.43151250005195,2.1406499999999973,0.06247575888454583,0.06247575888454583,0.08,2.3400399,2.075149999999999,0.06345805735219287,0.06345805735219287,0.065,2.892956800064194,2.5046500000000016,0.06731247634584915,0.06731247634584915,0.033,2.9766290001129003,2.5000999999999998,0.07295670623312359,0.07295670623312359,0.036,2.6511387999999996,2.318049999999996,0.06642246199341835,0.06642246199341835,0.026,10634.617957353592,1091.8737149238586,593,800,900,796,871,908,826,863,798,793,869,829,920,822,861,830,358,387,337,307,339
