,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,TSP 1 Best Regret Count
0,mse,7.116841609296249,5.1929045893167975,1.7762552,0.31759999999999877,0.060763477487742946,0.060763477487742946,0.473,1.097344,0.0,0.06165584284415544,0.06165584284415544,0.71,2.1811442000000003,0.4687499999999991,0.12691411925209467,0.12691411925209467,0.472,4.40359390005195,4.2273,0.11625781947693811,0.11625781947693811,0.015,1.6892657279968262,0.08293771743774414,922,575,777,562,77
1,separated,"[55.490831599933614, 56.00015188370366, 56.16172395923665, 46.75241000146625]","[48.22265135794034, 48.84236893096629, 48.86177636414304, 40.441330742580135]",0.8339948,0.0,0.0,0.0273868613756508,0.636,0.41691939999999994,0.0,0.0,0.02194323709685791,0.809,0.7479617000000001,0.0,0.0,0.0403167592743195,0.683,2.2309491000519497,1.94285,0.050910129008387456,0.05800569232293887,0.056,3235.1327452659607,327.9960398674011,0,772,883,818,312
2,separated+mse,"[7.876968901133207, 8.305458358394924, 8.07314516155021, 7.780567619513699]","[5.878118733333115, 6.282239338589504, 6.079359984807464, 5.822477534122903]",0.7371271000000001,0.0,0.0,0.02437577551900013,0.664,0.4337234,0.0,0.0,0.022785915000173133,0.802,0.719942,0.0,0.0,0.03878824663662936,0.699,2.1985701000519504,1.9781999999999975,0.05186028752789258,0.05718183302251385,0.063,2938.9993579387665,297.98369097709656,2,812,877,834,313
3,comb,40.641138074905626,35.75607117069385,0.7966241000000003,0.0,0.02645676675206296,0.02645676675206296,0.659,0.3985095,0.0,0.020639382600074647,0.020639382600074647,0.81,0.8420990000000002,0.0,0.04606705204547129,0.04606705204547129,0.659,2.21270850005195,2.007950000000001,0.05723585485619347,0.05723585485619347,0.062,4599.294062376022,468.31483244895935,0,796,891,787,291
4,comb+mse,10.188252306811245,8.016461959817276,0.7943742000000001,0.0,0.02631142937284334,0.02631142937284334,0.655,0.4244281999999999,0.0,0.02232185046374484,0.02232185046374484,0.802,0.6897504000000001,0.0,0.037451219277405884,0.037451219277405884,0.699,2.20242520005195,1.9880500000000012,0.05723751243567199,0.05723751243567199,0.066,3372.62215924263,340.5024404525757,0,789,880,831,311
5,gradnorm,39.50036033866831,34.636130913273846,0.7639189000000001,0.0,0.025265199257247253,0.025265199257247253,0.661,0.4038103,0.0,0.02129814366426843,0.02129814366426843,0.809,0.8010616000000002,0.0,0.04292464851594592,0.04292464851594592,0.693,2.24556280005195,2.0024499999999996,0.058323473764835494,0.058323473764835494,0.078,3828.2545931339264,384.45536255836487,0,800,886,817,308
6,gradnorm+mse,7.821525889406781,5.593538983986564,0.7367944000000001,0.0,0.02402871926291836,0.02402871926291836,0.659,0.39847849999999996,0.0,0.021252134429837907,0.021252134429837907,0.807,0.7372789000000002,0.0,0.0403311626460605,0.0403311626460605,0.676,2.3234092000519504,2.188499999999994,0.06078687246657613,0.06078687246657613,0.05,2298.2284519672394,233.42316794395447,77,796,884,807,261
7,scheduled,10.965650049005726,8.94284769482285,0.7150436000000001,0.0,0.023855863584059382,0.023855863584059382,0.656,0.43502769999999996,0.0,0.02247070181510789,0.02247070181510789,0.812,0.7791469000000001,0.0,0.0425624082384123,0.0425624082384123,0.681,2.4475512000519504,2.259650000000004,0.06372283681072878,0.06372283681072878,0.058,2650.9400708675385,269.9626362323761,0,789,885,810,245
