,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,SP 7 Avg Regret,SP 7 Med Regret,SP 7 Avg Relative Regret,SP 7 Med Relative Regret,SP 7 Optimality Rate,SP 8 Avg Regret,SP 8 Med Regret,SP 8 Avg Relative Regret,SP 8 Med Relative Regret,SP 8 Optimality Rate,SP 9 Avg Regret,SP 9 Med Regret,SP 9 Avg Relative Regret,SP 9 Med Relative Regret,SP 9 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,TSP 3 Avg Regret,TSP 3 Med Regret,TSP 3 Avg Relative Regret,TSP 3 Med Relative Regret,TSP 3 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,SP 7 Best Regret Count,SP 8 Best Regret Count,SP 9 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count,TSP 3 Best Regret Count
0,separated,"[56.54490588811709, 56.679809440475644, 55.95566936729349, 56.60376731765132, 56.49488339494415, 56.2683925218953, 56.92325546946907, 56.635317968520134, 55.62993875535146, 47.50931429517086, 49.29914849518133, 42.92103316344098]","[48.93450472686851, 49.01405041455811, 48.12347993187434, 48.83167308453258, 48.55467099914878, 48.57813557921822, 49.23124039604288, 48.973017750915716, 48.15000604191738, 41.02865676151721, 42.252297569970814, 36.3297228693]",0.9034336000000001,0.0,0.0,0.03050224352771978,0.654,0.5716327999999999,0.0,0.0,0.029856947186354083,0.778,1.1115273,0.0,0.0,0.06024873174425124,0.641,0.8641719000000001,0.0,0.0,0.05369365789957135,0.712,0.3475603,0.0,0.0,0.017807414871892763,0.834,0.8262864,0.0,0.0,0.07268671889889586,0.657,0.8387737000000001,0.0,0.0,0.05401602224959892,0.726,1.0717074,0.0,0.0,0.0386869199505248,0.661,0.9793268,0.0,0.0,0.047815971865856725,0.625,2.17014820005195,1.8737499999999976,0.0495323049264081,0.05592370236137491,0.07,2.0924871,1.8490499999999983,0.05077608916930376,0.0566191809498996,0.077,2.616702300064194,2.3392500000000034,0.05572470335051413,0.06108245396239053,0.024,6945.916262388229,711.1615371704102,0,814,883,779,837,917,804,839,812,806,418,434,393
1,comb,22.63452497263622,17.59208181419619,1.0027782,3.552713678800501e-15,0.03428445164565339,0.03428445164565339,0.618,0.4729949,0.0,0.02468907639778166,0.02468907639778166,0.801,0.9353710000000001,0.0,0.050526630767234924,0.050526630767234924,0.678,0.7404717000000001,0.0,0.04410145381512499,0.04410145381512499,0.724,0.4107056999999999,0.0,0.020970764583746963,0.020970764583746963,0.828,0.8553521000000001,0.0,0.07365729170558115,0.07365729170558115,0.68,0.6944354,0.0,0.044269852539246306,0.044269852539246306,0.739,1.0537313,0.0,0.03704775102088676,0.03704775102088676,0.661,1.0228229,0.0,0.05059500258384343,0.05059500258384343,0.619,2.29459400005195,2.0290000000000035,0.05934059995233766,0.05934059995233766,0.071,2.1713903,1.8397499999999969,0.058801121225244106,0.058801121225244106,0.09,2.7924890000641933,2.4769999999999985,0.06525822381957498,0.06525822381957498,0.033,14508.44392323494,1478.5845322608948,333,769,908,817,848,908,815,857,817,800,405,445,356
2,gradnorm,22.615771372877994,17.09292782222782,0.9068068,0.0,0.030482961278148552,0.030482961278148552,0.644,0.5131817,0.0,0.027353876726839498,0.027353876726839498,0.789,1.0159377,0.0,0.05491180368870793,0.05491180368870793,0.662,0.7024349000000001,0.0,0.04207923841941119,0.04207923841941119,0.733,0.4784347999999999,0.0,0.025120444250999737,0.025120444250999737,0.82,0.7946546999999999,0.0,0.0666461174134484,0.0666461174134484,0.689,0.7328289,0.0,0.04945690861721241,0.04945690861721241,0.717,1.2109879000000001,0.0,0.04298004346754142,0.04298004346754142,0.636,1.0348314,0.0,0.0509955983871818,0.0509955983871818,0.614,2.38794900005195,2.115049999999986,0.06188584828898974,0.06188584828898974,0.068,2.3118405,1.9745999999999988,0.0627521652244586,0.0627521652244586,0.08,3.0874749000641932,2.7821000000000033,0.07200687582785602,0.07200687582785602,0.028,7503.276775360107,770.4078664779663,96,801,892,804,859,898,828,833,782,799,359,389,292
3,scheduled,22.181752069188914,16.773386391706584,0.9386186000000001,0.0,0.03081630251478261,0.03081630251478261,0.653,0.5352066999999999,0.0,0.02811942310464616,0.02811942310464616,0.78,0.9785217000000002,0.0,0.05224957583213278,0.05224957583213278,0.672,0.7716563000000001,0.0,0.046301063529345154,0.046301063529345154,0.721,0.3956529999999999,0.0,0.020632018041530933,0.020632018041530933,0.825,0.7772717,0.0,0.06709141242017122,0.06709141242017122,0.682,0.7446679,0.0,0.04891958723627022,0.04891958723627022,0.72,1.0358508,0.0,0.03713700046245576,0.03713700046245576,0.67,0.9688033,0.0,0.046813701092585105,0.046813701092585105,0.629,2.43353310005195,2.1464999999999996,0.06313458960816334,0.06313458960816334,0.05,2.33992,2.037299999999995,0.06359692712099387,0.06359692712099387,0.066,2.9189189000641935,2.6351499999999994,0.06791812449721005,0.06791812449721005,0.033,5727.702058792114,589.1933476924896,572,801,886,814,848,910,824,835,810,791,336,390,316
