,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,SP 7 Avg Regret,SP 7 Med Regret,SP 7 Avg Relative Regret,SP 7 Med Relative Regret,SP 7 Optimality Rate,SP 8 Avg Regret,SP 8 Med Regret,SP 8 Avg Relative Regret,SP 8 Med Relative Regret,SP 8 Optimality Rate,SP 9 Avg Regret,SP 9 Med Regret,SP 9 Avg Relative Regret,SP 9 Med Relative Regret,SP 9 Optimality Rate,SP 10 Avg Regret,SP 10 Med Regret,SP 10 Avg Relative Regret,SP 10 Med Relative Regret,SP 10 Optimality Rate,SP 11 Avg Regret,SP 11 Med Regret,SP 11 Avg Relative Regret,SP 11 Med Relative Regret,SP 11 Optimality Rate,SP 12 Avg Regret,SP 12 Med Regret,SP 12 Avg Relative Regret,SP 12 Med Relative Regret,SP 12 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,TSP 3 Avg Regret,TSP 3 Med Regret,TSP 3 Avg Relative Regret,TSP 3 Med Relative Regret,TSP 3 Optimality Rate,TSP 4 Avg Regret,TSP 4 Med Regret,TSP 4 Avg Relative Regret,TSP 4 Med Relative Regret,TSP 4 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,SP 7 Best Regret Count,SP 8 Best Regret Count,SP 9 Best Regret Count,SP 10 Best Regret Count,SP 11 Best Regret Count,SP 12 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count,TSP 3 Best Regret Count,TSP 4 Best Regret Count
0,separated,"[56.885244259420155, 56.64250270842213, 56.23630870188076, 57.048781103960394, 56.868982772286124, 56.58946055445509, 56.99106105551013, 56.819332314961855, 56.48757987452944, 57.28278482255485, 56.353517356917784, 57.34277874438514, 50.84143019412549, 52.29984985020744, 46.6679984310655, 50.857263174614516]","[49.1286865629761, 48.96727334376861, 48.64941899835242, 49.2440866824835, 49.25000699424447, 49.16308619454652, 49.24894272179334, 49.3896524316191, 48.84465483287953, 49.467355340090926, 48.82795238268637, 49.72335173058314, 44.273039856541274, 45.56314387512262, 40.50236436067745, 44.5746666584162]",1.6438109000000003,3.552713678800501e-15,1.4413435056566543e-16,0.054128386972905354,0.571,1.0050278,0.0,0.0,0.05549502091251809,0.726,2.0411498,3.552713678800501e-15,1.9716285782934076e-16,0.11665083692560856,0.514,1.8214619,0.0,0.0,0.11740001507273798,0.618,1.1657749,0.0,0.0,0.06295142618158141,0.754,1.4986537,0.0,0.0,0.13457542795614716,0.571,1.2280799999999998,0.0,0.0,0.07779122846703927,0.667,1.5744034999999994,0.0,0.0,0.05586065735882237,0.61,2.4795172,0.10925000000000473,0.004389916025164142,0.12104581330654636,0.483,0.7307801999999999,0.0,0.0,0.04980960839149409,0.768,2.0979183,1.7763568394002505e-15,1.5645062602935018e-16,0.1421833707404466,0.527,0.9705050000000001,0.0,0.0,0.0567885021722068,0.778,6.331015700041251,5.788099999999998,0.15303128270318506,0.16825066077847703,0.007,6.3274631999999995,5.45365,0.15077892216541566,0.17507344366568947,0.015,8.0852127001269,7.4145999999999965,0.1733062938865504,0.19203446216459585,0.003,7.669043700147901,6.733149999999998,0.16858276754958793,0.19364358714556873,0.002,6572.000628948212,741.8709704875946,0,795,867,698,835,889,785,841,790,683,872,721,875,208,219,160,155
1,comb,23.88164939659299,19.27807487177561,1.7595997000000003,3.552713678800501e-15,0.05764370285415194,0.05764370285415194,0.545,0.841024,0.0,0.048395774900245485,0.048395774900245485,0.729,1.4310399,0.0,0.07991622695703048,0.07991622695703048,0.588,1.2313895000000001,0.0,0.0806660709119376,0.0806660709119376,0.662,0.8355992000000001,0.0,0.042897821107681644,0.042897821107681644,0.783,1.2994513,0.0,0.11537835109441041,0.11537835109441041,0.601,1.0280504999999998,0.0,0.06566419063492197,0.06566419063492197,0.697,1.5589363999999999,1.7763568394002505e-15,0.05550119254774216,0.05550119254774216,0.599,1.6334477,3.552713678800501e-15,0.07885893072649637,0.07885893072649637,0.543,0.587586,0.0,0.03878809462728162,0.03878809462728162,0.792,1.5302197000000002,0.0,0.10129354877945917,0.10129354877945917,0.581,0.7560701000000002,0.0,0.04411797582640966,0.04411797582640966,0.786,4.46595310004125,3.98555,0.1181335317206655,0.1181335317206655,0.015,4.4935553,3.98545,0.1235772211675793,0.1235772211675793,0.029,5.5768184001269,5.189900000000005,0.1315522651355007,0.1315522651355007,0.002,5.343569900147901,4.862450000000006,0.13373021452608813,0.13373021452608813,0.004,8173.693003177643,889.7745862007141,203,787,876,783,899,922,815,866,789,764,896,798,898,410,430,378,365
2,gradnorm,23.07091655240162,18.058851900750284,1.7441719000000002,3.552713678800501e-15,0.05840070350037719,0.05840070350037719,0.543,0.7556795999999999,0.0,0.04191059215102678,0.04191059215102678,0.745,1.4315191,0.0,0.08052719608960866,0.08052719608960866,0.585,1.415231,0.0,0.0935482188037435,0.0935482188037435,0.638,0.9295615,0.0,0.048395256180560266,0.048395256180560266,0.778,1.1647710999999998,0.0,0.10117161330262121,0.10117161330262121,0.59,0.9553695,0.0,0.05957533032496595,0.05957533032496595,0.697,1.4383675999999996,0.0,0.0512722036116872,0.0512722036116872,0.628,1.7883965999999998,3.552713678800501e-15,0.08574370899858366,0.08574370899858366,0.52,0.6456282,0.0,0.04323831312870729,0.04323831312870729,0.779,1.5072522,1.7763568394002505e-15,0.10277761478222794,0.10277761478222794,0.575,0.7451435000000001,0.0,0.04150585332673307,0.04150585332673307,0.792,5.37691860004125,4.7669,0.14186508458265154,0.14186508458265154,0.008,4.669935499999999,4.128299999999996,0.1287786638166242,0.1287786638166242,0.025,6.3363763001269,5.7897500000000015,0.15022151951621895,0.15022151951621895,0.005,5.631866400147901,5.13485,0.14097859513290098,0.14097859513290098,0.006,7468.269094705582,810.619054555893,86,775,895,786,860,915,802,876,813,732,885,801,901,290,366,266,330
3,scheduled,22.371888595277476,17.345476751099312,1.6442916,3.552713678800501e-15,0.05397116603519251,0.05397116603519251,0.561,0.7158304000000001,0.0,0.04009857359648979,0.04009857359648979,0.733,1.4216187,0.0,0.07976134023849857,0.07976134023849857,0.581,1.2922143000000001,0.0,0.08477173801136478,0.08477173801136478,0.646,0.8026509,0.0,0.04093133857649613,0.04093133857649613,0.787,1.1545362999999997,0.0,0.09848685317538317,0.09848685317538317,0.613,1.0991548,0.0,0.07075808460286767,0.07075808460286767,0.674,1.1467320999999997,0.0,0.04220949235943884,0.04220949235943884,0.633,1.8303391999999998,3.552713678800501e-15,0.08640360952488706,0.08640360952488706,0.544,0.6167487,0.0,0.04064692435441069,0.04064692435441069,0.793,1.4557864,0.0,0.09566390057885601,0.09566390057885601,0.582,0.7892049000000001,0.0,0.046731264500511405,0.046731264500511405,0.78,4.680320200041249,4.298400000000004,0.12344962364438948,0.12344962364438948,0.02,4.7628687,4.261750000000003,0.1311794339715619,0.1311794339715619,0.019,5.8741385001269,5.43075,0.13840861924846912,0.13840861924846912,0.003,5.379737900147901,4.824650000000002,0.1341655075935843,0.1341655075935843,0.005,4499.879267692566,492.0219349861145,711,796,886,780,886,931,831,849,829,761,898,811,887,370,345,348,351
