,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,TSP 1 Best Regret Count
0,separated,"[56.91530071880814, 56.73018040729138, 56.39241098555335, 50.247747996670505]","[49.25078154145051, 48.88499072795845, 48.77241502763413, 43.49280441492367]",1.8202753000000003,3.552713678800501e-15,1.475196659152123e-16,0.06041861248492963,0.563,1.080107,0.0,0.0,0.06303040393311114,0.715,1.9542991000000003,1.7763568394002505e-15,1.3619512116278469e-16,0.11050021334050847,0.539,6.66867620004125,6.015449999999998,0.15785365471282709,0.1763669663436209,0.009,1998.3296926021576,217.22362112998962,0,845,888,795,354
1,comb,44.93883271815947,38.619935126883846,1.8746393000000003,3.552713678800501e-15,0.061637362717528836,0.061637362717528836,0.55,0.9716435000000001,0.0,0.05538273689108391,0.05538273689108391,0.708,1.9942058999999996,1.7763568394002505e-15,0.11341416178493051,0.11341416178493051,0.55,6.30503640004125,5.620750000000001,0.16732373618367596,0.16732373618367596,0.009,2201.045252799988,240.6467320919037,63,846,882,803,341
2,gradnorm,43.08158662565013,36.61899977264403,1.7556830000000003,3.552713678800501e-15,0.058144703074011594,0.058144703074011594,0.566,0.8967367,0.0,0.05180970315262855,0.05180970315262855,0.726,2.1972131,3.552713678800501e-15,0.12565452528900134,0.12565452528900134,0.515,6.435024100041249,5.874300000000002,0.1706631189490347,0.1706631189490347,0.007,1671.7459642887115,189.32732439041138,877,855,896,752,356
3,scheduled,44.151276657079805,37.82223170206801,2.0759852000000008,3.552713678800501e-15,0.06800363337320557,0.06800363337320557,0.539,0.8501321000000001,0.0,0.048559081758745466,0.048559081758745466,0.734,1.8539057,1.7763568394002505e-15,0.10577292095529223,0.10577292095529223,0.544,7.1902139000412495,6.3321000000000005,0.1913998913744724,0.1913998913744724,0.009,1488.9253475666046,160.711505651474,60,817,908,791,282
