,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,SP 7 Avg Regret,SP 7 Med Regret,SP 7 Avg Relative Regret,SP 7 Med Relative Regret,SP 7 Optimality Rate,SP 8 Avg Regret,SP 8 Med Regret,SP 8 Avg Relative Regret,SP 8 Med Relative Regret,SP 8 Optimality Rate,SP 9 Avg Regret,SP 9 Med Regret,SP 9 Avg Relative Regret,SP 9 Med Relative Regret,SP 9 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,TSP 3 Avg Regret,TSP 3 Med Regret,TSP 3 Avg Relative Regret,TSP 3 Med Relative Regret,TSP 3 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,SP 7 Best Regret Count,SP 8 Best Regret Count,SP 9 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count,TSP 3 Best Regret Count
0,mse,8.539871790978408,6.384869406786858,1.8512332,0.30935000000000024,0.0663025236660819,0.0663025236660819,0.47,0.9900880999999999,0.0,0.05588286416384051,0.05588286416384051,0.714,2.4537367999999997,0.9416499999999992,0.14336950311527633,0.14336950311527633,0.429,1.5303893,0.0,0.10249433428638238,0.10249433428638238,0.604,2.749915,0.95275,0.15186752775052356,0.15186752775052356,0.456,2.0339658,0.14694999999999858,0.1957900663488971,0.1957900663488971,0.488,1.5872159000000001,1.7763568394002505e-15,0.10874864670150544,0.10874864670150544,0.566,1.8213458999999999,3.552713678800501e-15,0.06740485540438881,0.06740485540438881,0.55,2.7028177,1.1866999999999983,0.13841385825107777,0.13841385825107777,0.391,4.946151300041251,4.744949999999996,0.1308900543187357,0.1308900543187357,0.006,4.8338942000000005,4.551599999999997,0.13401257418706994,0.13401257418706994,0.009,7.461476500126901,7.116800000000001,0.1772377855628954,0.1772377855628954,0.0,1.8584563732147217,0.09262990951538086,956,556,790,524,703,500,591,656,649,504,129,114,50
1,separated,"[56.02470816511029, 54.83584345609618, 56.01476665002534, 55.15057930460429, 54.41567805001306, 55.37948198473503, 55.96280295016257, 55.7517410274472, 55.56726644218207, 47.9225687635231, 50.35401582604484, 42.990469455387256]","[48.69308083341619, 47.53883740988057, 48.28025968693031, 47.426026790825276, 46.984507314646564, 48.24202013669191, 48.668949419269126, 48.37937730194351, 48.61929075561744, 41.39557482916027, 43.76850516193923, 36.91385573017108]",1.1806891000000004,3.552713678800501e-15,1.2920660390082202e-16,0.038905065184264655,0.609,0.7483420000000001,0.0,0.0,0.04143099849042029,0.746,1.664413,1.7763568394002505e-15,1.2285566767056443e-16,0.0956947928897022,0.546,1.3192885,0.0,0.0,0.08540175644693061,0.642,0.8261193,0.0,0.0,0.04286213528686938,0.756,0.9419557,0.0,0.0,0.08181127463745214,0.612,0.9969119999999999,0.0,0.0,0.06377006677471572,0.691,1.1815013999999995,0.0,0.0,0.04202163683736699,0.655,1.9657033,0.06584999999999752,0.003107240650884257,0.09550156795219042,0.492,4.30991510004125,3.9882500000000007,0.10364021231774521,0.1139689089618893,0.023,4.265052300000001,3.904450000000004,0.10752529063312347,0.11776796222408507,0.021,5.222382100126901,4.876099999999997,0.11562394943694287,0.12325443837038168,0.006,9070.20303106308,927.0297071933746,0,727,828,655,763,814,759,808,776,620,171,164,151
2,separated+mse,"[9.480374659784413, 9.405175709639723, 9.482099484716178, 9.431873839726787, 9.267289770017614, 9.412390272780709, 9.350550822926849, 9.588613414444135, 9.672185123239494, 9.503522922642633, 9.340249473252321, 9.956296197348834]","[7.3159753960020035, 7.053174922215464, 7.223519910331207, 7.04611428890205, 6.8497002329982255, 6.969153582055293, 7.088378293958408, 7.2957090228019, 7.271737016388399, 7.249557825615911, 7.118331581910988, 7.575536943986565]",1.0973284000000003,3.552713678800501e-15,1.294450172000679e-16,0.0358553730243199,0.61,0.6447951000000001,0.0,0.0,0.03535159378882834,0.764,1.3747624,0.0,0.0,0.07741762364364607,0.591,1.2607242,0.0,0.0,0.08186825044262168,0.639,0.7755118,0.0,0.0,0.03891804181768168,0.774,0.8856967,0.0,0.0,0.07521754750531616,0.637,0.812251,0.0,0.0,0.05169417636110458,0.701,1.2222179999999996,0.0,0.0,0.04378561840354257,0.655,1.5510692,3.552713678800501e-15,1.545730635036425e-16,0.07621211486499295,0.54,4.03835460004125,3.722149999999999,0.09879363990754185,0.1063616300896046,0.016,3.8129628,3.4408499999999975,0.0922689354179424,0.10488511626727709,0.022,4.6875554001269,4.430200000000003,0.10208674648501434,0.11047115452058755,0.005,9540.46827864647,984.1812796592712,1,730,851,705,765,837,772,817,776,676,172,221,191
3,comb,29.137222460189264,25.980455377157455,1.1151221000000004,3.552713678800501e-15,0.03693764292014746,0.03693764292014746,0.607,0.5863097,0.0,0.03228660276022783,0.03228660276022783,0.771,1.1718791000000002,0.0,0.06637553902310046,0.06637553902310046,0.623,1.2217541,0.0,0.08100879177811647,0.08100879177811647,0.661,0.8132636999999999,0.0,0.03992246223892383,0.03992246223892383,0.766,0.9449576999999999,0.0,0.08287713781896949,0.08287713781896949,0.618,0.7830841,0.0,0.05128641269992426,0.05128641269992426,0.693,1.1027738999999996,0.0,0.039664097961725514,0.039664097961725514,0.646,1.7312516999999998,3.552713678800501e-15,0.0835723961413224,0.0835723961413224,0.515,4.02232540004125,3.721249999999994,0.10600926417058187,0.10600926417058187,0.018,4.026779100000001,3.7805999999999997,0.1109373767152505,0.1109373767152505,0.032,4.923148500126901,4.550549999999998,0.11613532699002048,0.11613532699002048,0.003,10183.419342517853,1040.1375708580017,0,727,859,742,781,824,755,805,770,656,177,191,146
4,comb+mse,17.17373306151571,14.312251684463472,1.0785815000000003,3.552713678800501e-15,0.03649335865737954,0.03649335865737954,0.603,0.6683193,0.0,0.037770871578997285,0.037770871578997285,0.753,1.2641954,0.0,0.07169069256082612,0.07169069256082612,0.601,1.1678283,0.0,0.07542660780561349,0.07542660780561349,0.671,0.5750062,0.0,0.029052975322697266,0.029052975322697266,0.786,0.8991198999999999,0.0,0.0774888376668432,0.0774888376668432,0.623,0.8418880999999999,0.0,0.0548564325914555,0.0548564325914555,0.707,1.1869820999999998,0.0,0.042231763916918706,0.042231763916918706,0.647,1.5731819999999999,3.552713678800501e-15,0.07587054227385494,0.07587054227385494,0.531,3.7309750000412505,3.470800000000004,0.09800599621295232,0.09800599621295232,0.018,3.9216317000000003,3.604550000000007,0.10792452665230919,0.10792452665230919,0.034,4.621260700126901,4.362000000000002,0.10879027571432832,0.10879027571432832,0.004,11130.873352527618,1131.7014305591583,0,725,841,718,786,853,760,816,769,682,213,205,168
5,gradnorm,25.893978336180133,22.611434871300688,1.1037866000000003,3.552713678800501e-15,0.036548209011962624,0.036548209011962624,0.606,0.6263116,0.0,0.034100796059349264,0.034100796059349264,0.774,1.2988107,0.0,0.07389671811707763,0.07389671811707763,0.615,1.3272099000000002,0.0,0.08689784245903116,0.08689784245903116,0.646,0.7860079000000001,0.0,0.04001156231103884,0.04001156231103884,0.756,1.0011801,0.0,0.08615369693390396,0.08615369693390396,0.617,0.7930478,0.0,0.051428119414768686,0.051428119414768686,0.698,1.2970867999999998,0.0,0.0457047403963329,0.0457047403963329,0.631,1.6315898,3.552713678800501e-15,0.07871233747032172,0.07871233747032172,0.524,4.22485340004125,3.8101000000000056,0.11139374262688886,0.11139374262688886,0.017,4.0631741,3.6376000000000026,0.1119906317592988,0.1119906317592988,0.03,5.2350873001269,4.953199999999995,0.12296073268324344,0.12296073268324344,0.005,9248.058249235153,944.9064774513245,0,724,860,732,765,816,759,811,755,670,169,201,118
6,gradnorm+mse,10.387863513207368,7.3566127600524664,0.9619148000000005,3.552713678800501e-15,0.032836301823616895,0.032836301823616895,0.615,0.48267999999999994,0.0,0.025902743789692765,0.025902743789692765,0.792,1.0064304,0.0,0.05634566886899017,0.05634566886899017,0.624,0.9990429000000001,0.0,0.06308802038319891,0.06308802038319891,0.697,0.6288224,0.0,0.031857017440577444,0.031857017440577444,0.77,0.8093009,0.0,0.07120248156803345,0.07120248156803345,0.638,0.7819354,0.0,0.05097072133944158,0.05097072133944158,0.709,1.1914164999999997,0.0,0.0415624046775069,0.0415624046775069,0.635,1.5319898,3.552713678800501e-15,0.07418351468882148,0.07418351468882148,0.539,3.27651290004125,3.0275500000000033,0.08613362222544961,0.08613362222544961,0.028,3.0699264000000004,2.844399999999993,0.08399799439138854,0.08399799439138854,0.042,3.9493733001269007,3.777899999999999,0.0929398184227669,0.0929398184227669,0.007,8810.95482134819,904.5589394569397,43,731,886,754,825,830,787,824,759,680,291,327,287
7,scheduled,20.512629244058814,17.94820458505967,1.1880545000000005,3.552713678800501e-15,0.04016800901548355,0.04016800901548355,0.59,0.539289,0.0,0.029379499560777445,0.029379499560777445,0.776,1.1704773,0.0,0.06517508265281688,0.06517508265281688,0.622,1.3857283,0.0,0.09069745762129423,0.09069745762129423,0.645,0.5970592999999998,0.0,0.02970236332037742,0.02970236332037742,0.802,0.9742063000000001,0.0,0.08854101783863053,0.08854101783863053,0.597,0.7878773,0.0,0.0504026034098991,0.0504026034098991,0.713,1.2060303999999997,0.0,0.043348529187026114,0.043348529187026114,0.644,1.5581124,3.552713678800501e-15,0.07495026741877996,0.07495026741877996,0.54,3.85309170004125,3.5423000000000044,0.1018420210395351,0.1018420210395351,0.021,3.8431246999999997,3.481749999999998,0.10558131810732295,0.10558131810732295,0.029,4.9116599001269,4.562200000000004,0.1156085648293519,0.1156085648293519,0.002,7984.095957040787,789.2092428207397,0,711,864,748,762,860,741,828,762,682,204,201,157
