,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,TSP 1 Best Regret Count
0,mse,8.539871790978408,6.384869406786858,1.8512332,0.30935000000000024,0.0663025236660819,0.0663025236660819,0.47,0.9900880999999999,0.0,0.05588286416384051,0.05588286416384051,0.714,2.4537367999999997,0.9416499999999992,0.14336950311527633,0.14336950311527633,0.429,4.946151300041251,4.744949999999996,0.1308900543187357,0.1308900543187357,0.006,1.672898769378662,0.07801103591918945,786,573,793,535,136
1,separated,"[56.02470816511029, 54.83584345609618, 56.01476665002534, 47.91962341904461]","[48.69308083341619, 47.53883740988057, 48.28025968693031, 41.43839765133069]",1.1806891000000004,3.552713678800501e-15,1.2920660390082202e-16,0.038905065184264655,0.609,0.7483420000000001,0.0,0.0,0.04143099849042029,0.746,1.664413,1.7763568394002505e-15,1.2285566767056443e-16,0.0956947928897022,0.546,4.193333800041249,3.8112499999999994,0.10176187714343733,0.11030060787844811,0.026,3231.8763406276703,326.69571137428284,0,735,837,669,191
2,separated+mse,"[9.40565344401608, 9.458042278377278, 9.49432248881645, 9.494119848394664]","[7.115539683126314, 7.087279659122672, 7.260276078472055, 7.218101864027842]",1.1432328000000003,3.552713678800501e-15,1.2920660390082202e-16,0.037437944930901544,0.609,0.5454889,0.0,0.0,0.030116915044997698,0.773,1.3987507999999997,0.0,0.0,0.07955706448000467,0.568,4.0115092000412504,3.7267500000000027,0.09920563178141381,0.10581066821870977,0.018,2941.243493080139,304.38440322875977,1,745,864,698,198
3,comb,40.85646121273323,35.213844254756836,1.1805335000000006,3.552713678800501e-15,0.03891377795583284,0.03891377795583284,0.593,0.6133124,0.0,0.034249958203082,0.034249958203082,0.763,1.5021981,0.0,0.08649200996442451,0.08649200996442451,0.574,4.806014100041249,4.4850000000000065,0.1272722013601877,0.1272722013601877,0.011,2696.6184751987457,276.86096262931824,0,721,856,691,149
4,comb+mse,12.349047332514692,9.789058430570684,1.1160627000000003,3.552713678800501e-15,0.03722495964887193,0.03722495964887193,0.598,0.6549534000000001,0.0,0.037079159741320956,0.037079159741320956,0.748,1.4708101999999998,0.0,0.08383111672863619,0.08383111672863619,0.561,4.37497220004125,4.030099999999997,0.1156555998906162,0.1156555998906162,0.023,3955.355288028717,399.7690269947052,0,731,843,679,200
5,gradnorm,41.031454604473026,35.64581757949576,1.3042790000000004,3.552713678800501e-15,0.04300895203836386,0.04300895203836386,0.572,0.7090308,0.0,0.03996512302033821,0.03996512302033821,0.744,1.5190334,0.0,0.08610985399798446,0.08610985399798446,0.58,4.778165500041251,4.508100000000002,0.12644397023232473,0.12644397023232473,0.014,3027.7921838760376,308.5760238170624,0,702,834,707,142
6,gradnorm+mse,9.189792132229048,6.709369203973071,0.9600259000000003,3.552713678800501e-15,0.032703686960978647,0.032703686960978647,0.629,0.4935253,0.0,0.026990746001161012,0.026990746001161012,0.784,1.1706328,0.0,0.0671734796669521,0.0671734796669521,0.584,3.26580000004125,3.0768499999999968,0.08609751712737614,0.08609751712737614,0.018,2095.9750168323517,214.29433584213257,216,766,879,719,310
7,scheduled,13.464691721978896,10.86174919635351,1.2413044000000002,3.552713678800501e-15,0.041007464860709275,0.041007464860709275,0.583,0.5912374,0.0,0.033020603305624924,0.033020603305624924,0.767,1.2715137999999997,0.0,0.07197978787321796,0.07197978787321796,0.599,4.36163590004125,4.108050000000009,0.11533257340948401,0.11533257340948401,0.018,3279.615131378174,324.48248386383057,0,718,856,733,187
