,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,SP 7 Avg Regret,SP 7 Med Regret,SP 7 Avg Relative Regret,SP 7 Med Relative Regret,SP 7 Optimality Rate,SP 8 Avg Regret,SP 8 Med Regret,SP 8 Avg Relative Regret,SP 8 Med Relative Regret,SP 8 Optimality Rate,SP 9 Avg Regret,SP 9 Med Regret,SP 9 Avg Relative Regret,SP 9 Med Relative Regret,SP 9 Optimality Rate,SP 10 Avg Regret,SP 10 Med Regret,SP 10 Avg Relative Regret,SP 10 Med Relative Regret,SP 10 Optimality Rate,SP 11 Avg Regret,SP 11 Med Regret,SP 11 Avg Relative Regret,SP 11 Med Relative Regret,SP 11 Optimality Rate,SP 12 Avg Regret,SP 12 Med Regret,SP 12 Avg Relative Regret,SP 12 Med Relative Regret,SP 12 Optimality Rate,SP 13 Avg Regret,SP 13 Med Regret,SP 13 Avg Relative Regret,SP 13 Med Relative Regret,SP 13 Optimality Rate,SP 14 Avg Regret,SP 14 Med Regret,SP 14 Avg Relative Regret,SP 14 Med Relative Regret,SP 14 Optimality Rate,SP 15 Avg Regret,SP 15 Med Regret,SP 15 Avg Relative Regret,SP 15 Med Relative Regret,SP 15 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,TSP 3 Avg Regret,TSP 3 Med Regret,TSP 3 Avg Relative Regret,TSP 3 Med Relative Regret,TSP 3 Optimality Rate,TSP 4 Avg Regret,TSP 4 Med Regret,TSP 4 Avg Relative Regret,TSP 4 Med Relative Regret,TSP 4 Optimality Rate,TSP 5 Avg Regret,TSP 5 Med Regret,TSP 5 Avg Relative Regret,TSP 5 Med Relative Regret,TSP 5 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,SP 7 Best Regret Count,SP 8 Best Regret Count,SP 9 Best Regret Count,SP 10 Best Regret Count,SP 11 Best Regret Count,SP 12 Best Regret Count,SP 13 Best Regret Count,SP 14 Best Regret Count,SP 15 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count,TSP 3 Best Regret Count,TSP 4 Best Regret Count,TSP 5 Best Regret Count
0,separated,"[56.85951959965126, 56.55650881852633, 56.48335225061135, 56.98384961060912, 56.73532711959373, 56.54611821074464, 57.01774436695459, 56.82151061760319, 56.41797448403898, 57.46791766528777, 56.26190310513883, 57.130128010104215, 56.55529989757767, 56.54327186369046, 56.87231908963923, 53.522701318920646, 52.202501027277584, 50.9392155514006, 49.26996132128882, 52.74676200394366]","[49.13497741700215, 48.85029294354869, 48.91690801189573, 49.233170725739065, 49.15914233142616, 49.060193195905384, 49.398364672383806, 49.294580872805106, 48.79211589680209, 49.69900171315392, 48.707854245167574, 49.53482637093591, 48.77530483170412, 49.07046520053252, 49.420113555828124, 47.11013543485047, 45.45398424562984, 45.12588224021995, 42.67116020292219, 46.117684322232506]",1.6188765000000003,3.552713678800501e-15,1.3869868587663325e-16,0.053126417081885105,0.586,0.9110965,0.0,0.0,0.05115769070906758,0.724,2.2159226,3.552713678800501e-15,1.6239235332192372e-16,0.12485595516248164,0.53,1.8321774,0.0,0.0,0.11738059731115927,0.612,1.2233091,0.0,0.0,0.06738077830836048,0.759,1.5820142000000001,0.0,0.0,0.13783367967785545,0.582,1.1087075,0.0,0.0,0.06984110886434146,0.68,1.6291166999999995,0.0,0.0,0.05720971406782918,0.621,2.4344506,0.20224999999999937,0.008921765323526263,0.11916172223431551,0.475,0.7103357000000001,0.0,0.0,0.048219140875314814,0.769,2.1239643,1.7763568394002505e-15,1.8142301754485537e-16,0.14240937227741451,0.515,1.0812679000000003,0.0,0.0,0.06201456591482352,0.771,1.796505,0.0,0.0,0.11007779935608793,0.612,1.6377294,0.0,0.0,0.0956832067291547,0.649,2.6261057,1.7763568394002505e-15,1.5584159452651365e-16,0.14866673014077103,0.531,6.44369440004125,5.809049999999996,0.15152752894793994,0.1714819504036962,0.003,6.3868525,5.538899999999998,0.15051762800816038,0.17680597496013742,0.015,8.4249733001269,7.788850000000007,0.18053518462822551,0.20022871776915876,0.001,7.8525871001478995,6.985950000000006,0.17076975877250536,0.19827461047948253,0.001,7.4124639000726,6.917550000000002,0.17105155412918638,0.18955191297498503,0.001,9230.373606443405,1048.03657746315,0,808,873,705,831,885,774,841,764,669,886,708,859,774,837,759,167,192,121,146,129
1,comb,24.426558226522378,20.435056110802083,1.7336016000000003,3.552713678800501e-15,0.05750581783767355,0.05750581783767355,0.54,0.7403181000000001,0.0,0.041938230608347546,0.041938230608347546,0.732,1.53303,0.0,0.08649364545925137,0.08649364545925137,0.568,1.2301294,0.0,0.08111849122448109,0.08111849122448109,0.655,0.9996368999999999,0.0,0.05319315783554378,0.05319315783554378,0.764,1.0530918999999999,0.0,0.08953570939665847,0.08953570939665847,0.612,1.0312427000000002,0.0,0.06547099579894027,0.06547099579894027,0.692,1.3308686999999997,0.0,0.047584620556084506,0.047584620556084506,0.635,1.6463877,3.552713678800501e-15,0.0802080050067307,0.0802080050067307,0.531,0.5579556999999999,0.0,0.03687053642047354,0.03687053642047354,0.799,1.2986187,0.0,0.08614812186502627,0.08614812186502627,0.582,0.5721302,0.0,0.03260291716831369,0.03260291716831369,0.809,1.5155135,0.0,0.09001955824326817,0.09001955824326817,0.648,1.4475543,0.0,0.08766781356897439,0.08766781356897439,0.632,1.5057673,0.0,0.08348686522571078,0.08348686522571078,0.602,4.32758220004125,3.7389499999999956,0.11385263312802965,0.11385263312802965,0.013,4.106274099999999,3.5097500000000075,0.11247455417305434,0.11247455417305434,0.034,5.495879300126901,4.969899999999992,0.12977240126855072,0.12977240126855072,0.003,4.972444600147901,4.562099999999994,0.12447769791220406,0.12447769791220406,0.009,4.859516300072601,4.4221,0.12284429667465104,0.12284429667465104,0.007,13009.843538284302,1390.5145871639252,73,768,882,760,893,901,815,849,793,758,925,801,910,826,832,859,404,447,372,399,376
2,gradnorm,21.135006682273414,15.76521049428427,1.6700035000000002,3.552713678800501e-15,0.05621148189711979,0.05621148189711979,0.554,0.8050167,0.0,0.04485199084061181,0.04485199084061181,0.733,1.4282937999999998,0.0,0.08049472703822996,0.08049472703822996,0.587,1.3637104999999998,0.0,0.08804163919353902,0.08804163919353902,0.643,1.0547799,0.0,0.053084868619260685,0.053084868619260685,0.753,1.1805359000000002,0.0,0.10082829760707109,0.10082829760707109,0.599,0.9696615000000001,0.0,0.06134130226798966,0.06134130226798966,0.706,1.3591205999999998,0.0,0.04783873544600794,0.04783873544600794,0.62,1.5440535999999998,3.552713678800501e-15,0.07409340099435531,0.07409340099435531,0.532,0.6272810999999999,0.0,0.04212051651294405,0.04212051651294405,0.785,1.6738753,1.7763568394002505e-15,0.1134391027119518,0.1134391027119518,0.561,0.8023795000000001,0.0,0.04617600299154935,0.04617600299154935,0.778,1.5983732,0.0,0.09554201651738177,0.09554201651738177,0.621,1.3927327,0.0,0.08160163338204157,0.08160163338204157,0.638,1.5144942,0.0,0.08391305093415616,0.08391305093415616,0.613,4.730558700041251,4.185850000000002,0.12467399703883741,0.12467399703883741,0.011,4.5114648,4.093050000000002,0.1241016059147934,0.1241016059147934,0.033,6.0379610001268995,5.619500000000006,0.14261221313221134,0.14261221313221134,0.001,5.6200126001479,4.9687999999999946,0.1407102500209316,0.1407102500209316,0.005,5.2985856000726,4.876100000000001,0.13396187412785956,0.13396187412785956,0.006,6579.254195928574,739.4051985740662,467,789,878,797,875,884,805,863,781,747,906,765,881,797,838,860,344,353,259,318,318
3,scheduled,20.446467432513295,15.756628369680364,1.7059642000000004,3.552713678800501e-15,0.05621531782217906,0.05621531782217906,0.552,0.7531985,0.0,0.04224714483577699,0.04224714483577699,0.741,1.6193547,0.0,0.09109901737828878,0.09109901737828878,0.571,1.3019266,0.0,0.08478580331365185,0.08478580331365185,0.645,0.8097888000000001,0.0,0.0407039492568051,0.0407039492568051,0.789,1.0665228999999998,0.0,0.09003708972087467,0.09003708972087467,0.645,0.9683424,0.0,0.061947737203624516,0.061947737203624516,0.709,1.2583046999999996,0.0,0.044259051318284406,0.044259051318284406,0.636,1.5568667999999999,3.552713678800501e-15,0.07509211611295817,0.07509211611295817,0.551,0.7217634,0.0,0.048723060042317246,0.048723060042317246,0.759,1.4945263,1.3322676295501878e-15,0.1008034856195457,0.1008034856195457,0.572,0.7598128000000002,0.0,0.04441026784618267,0.04441026784618267,0.779,1.457892,0.0,0.08667570581517761,0.08667570581517761,0.642,1.5133329999999998,0.0,0.09168742835133227,0.09168742835133227,0.627,1.5434203,0.0,0.08514662262716101,0.08514662262716101,0.6,4.27665780004125,3.7441499999999976,0.11250480519330724,0.11250480519330724,0.016,4.4259676,3.9053000000000004,0.12174943094560796,0.12174943094560796,0.034,5.380054400126901,4.898649999999996,0.12696850237344362,0.12696850237344362,0.002,5.261311700147901,4.777699999999992,0.13188596768615288,0.13188596768615288,0.005,4.8789995000726005,4.527299999999997,0.12348163813834588,0.12348163813834588,0.012,7130.036278009415,769.333785533905,462,789,887,761,879,922,857,866,804,767,883,789,878,823,822,851,383,393,395,334,382
