,Method,MSE,Med MSE,SP 1 Avg Regret,SP 1 Med Regret,SP 1 Avg Relative Regret,SP 1 Med Relative Regret,SP 1 Optimality Rate,SP 2 Avg Regret,SP 2 Med Regret,SP 2 Avg Relative Regret,SP 2 Med Relative Regret,SP 2 Optimality Rate,SP 3 Avg Regret,SP 3 Med Regret,SP 3 Avg Relative Regret,SP 3 Med Relative Regret,SP 3 Optimality Rate,SP 4 Avg Regret,SP 4 Med Regret,SP 4 Avg Relative Regret,SP 4 Med Relative Regret,SP 4 Optimality Rate,SP 5 Avg Regret,SP 5 Med Regret,SP 5 Avg Relative Regret,SP 5 Med Relative Regret,SP 5 Optimality Rate,SP 6 Avg Regret,SP 6 Med Regret,SP 6 Avg Relative Regret,SP 6 Med Relative Regret,SP 6 Optimality Rate,TSP 1 Avg Regret,TSP 1 Med Regret,TSP 1 Avg Relative Regret,TSP 1 Med Relative Regret,TSP 1 Optimality Rate,TSP 2 Avg Regret,TSP 2 Med Regret,TSP 2 Avg Relative Regret,TSP 2 Med Relative Regret,TSP 2 Optimality Rate,Elapsed,Elapsed Val,Best MSE Count,SP 1 Best Regret Count,SP 2 Best Regret Count,SP 3 Best Regret Count,SP 4 Best Regret Count,SP 5 Best Regret Count,SP 6 Best Regret Count,TSP 1 Best Regret Count,TSP 2 Best Regret Count
0,mse,7.116841609296249,5.1929045893167975,1.7762552,0.31759999999999877,0.060763477487742946,0.060763477487742946,0.473,1.097344,0.0,0.06165584284415544,0.06165584284415544,0.71,2.1811442000000003,0.4687499999999991,0.12691411925209467,0.12691411925209467,0.472,1.6880597,0.0,0.11532110697561596,0.11532110697561596,0.575,2.3431911999999997,0.16915000000000013,0.13164237378327698,0.13164237378327698,0.486,1.9934793,0.20110000000000028,0.1998024330996427,0.1998024330996427,0.482,4.40359390005195,4.2273,0.11625781947693811,0.11625781947693811,0.015,4.3253598,4.029499999999999,0.11913000213140601,0.11913000213140601,0.013,1.8018078804016113,0.08993411064147949,995,563,774,556,664,523,557,74,58
1,separated,"[55.490831599933614, 56.00015188370366, 56.16172395923665, 56.53097416168951, 56.428521159613275, 55.618231217640314, 46.6373509912086, 48.96653081732245]","[48.22265135794034, 48.84236893096629, 48.86177636414304, 49.19006772123413, 49.02950405485757, 48.793566007124056, 40.547718976644475, 42.08686418925601]",0.8339948,0.0,0.0,0.0273868613756508,0.636,0.41691939999999994,0.0,0.0,0.02194323709685791,0.809,0.7479617000000001,0.0,0.0,0.0403167592743195,0.683,0.6208578,0.0,0.0,0.03625031138292375,0.748,0.3489572999999999,0.0,0.0,0.018410228187304107,0.841,0.6262600999999999,0.0,0.0,0.05371960543729712,0.699,2.2105852000519497,2.001700000000003,0.05278290018296801,0.05756570543424601,0.049,2.1441413000000002,1.8980000000000015,0.052930773442501494,0.058415169373959616,0.076,6895.410299777985,699.1390309333801,0,760,882,809,849,894,811,272,293
2,separated+mse,"[7.781934017658668, 8.489230085652625, 8.109405888148519, 8.268647626381654, 8.253945522367731, 8.059652194094195, 7.793601457435414, 7.650513455583948]","[5.7948298876500735, 6.496028698937291, 6.12091937332538, 6.218207318476688, 6.30985781097084, 5.990780896491187, 5.830725425912638, 5.696503252634185]",0.7103016000000001,0.0,0.0,0.023069773902039705,0.681,0.4063121,0.0,0.0,0.021099872551769722,0.811,0.7437933,0.0,0.0,0.04014628895194036,0.685,0.6134589000000001,0.0,0.0,0.03601521489577047,0.745,0.26446489999999995,0.0,0.0,0.013180575556496375,0.841,0.6587956999999999,0.0,0.0,0.0573903731664852,0.689,2.2037573000519495,1.9848499999999945,0.05208102831146251,0.05727339513179905,0.056,2.1213821,1.9058000000000028,0.052477684516197706,0.057871827670104424,0.064,5956.314261436462,606.6993584632874,0,804,884,807,848,895,804,276,303
3,comb,31.682730680846152,28.24775962273594,0.7041902000000001,0.0,0.02344975069869858,0.02344975069869858,0.692,0.44037789999999993,0.0,0.023323185589163666,0.023323185589163666,0.803,0.7821499000000001,0.0,0.04280484592526787,0.04280484592526787,0.684,0.6759537,0.0,0.040821345865073945,0.040821345865073945,0.736,0.3428459999999999,0.0,0.017425055343472783,0.017425055343472783,0.826,0.6979657,0.0,0.060603851280035086,0.060603851280035086,0.68,2.13568940005195,1.9048000259749962,0.05527880958423183,0.05527880958423183,0.071,1.9951707999999997,1.733150000000002,0.05411343505223381,0.05411343505223381,0.087,8688.20142364502,880.5118827819824,0,821,877,801,844,880,789,322,356
4,comb+mse,13.354544151691284,11.08272746435616,0.7587765000000001,0.0,0.025493065874565977,0.025493065874565977,0.66,0.42002539999999994,0.0,0.022222091899934387,0.022222091899934387,0.813,0.7902460000000001,0.0,0.04267360652075078,0.04267360652075078,0.688,0.6634007000000001,0.0,0.04078807806253614,0.04078807806253614,0.736,0.3003517999999999,0.0,0.016098863838203678,0.016098863838203678,0.845,0.7327888,0.0,0.0655805673909997,0.0655805673909997,0.661,2.1434497000519506,1.8908499999999968,0.055764247745358334,0.055764247745358334,0.061,2.0930319,1.8662000000000099,0.05669534877979827,0.05669534877979827,0.081,8989.221049308777,915.9760117530823,0,786,885,806,841,901,769,299,325
5,gradnorm,31.84995563055458,28.44575765878276,0.7010208000000001,0.0,0.023590565537241523,0.023590565537241523,0.675,0.3883573,0.0,0.02060052340564588,0.02060052340564588,0.819,0.7031742000000002,0.0,0.038217413977667786,0.038217413977667786,0.697,0.5829860000000001,0.0,0.03384459053577492,0.03384459053577492,0.75,0.29261809999999994,0.0,0.014636891662616672,0.014636891662616672,0.84,0.6973895,0.0,0.060979378788025354,0.060979378788025354,0.677,2.2374391000519505,2.0538999999999987,0.05807850361591924,0.05807850361591924,0.065,2.0679496,1.8309000000000033,0.056269198807155606,0.056269198807155606,0.072,8089.656826019287,817.2199878692627,0,804,895,819,856,895,785,290,328
6,gradnorm+mse,8.657643472212971,6.091887950427722,0.757741,0.0,0.02449114864995957,0.02449114864995957,0.651,0.38385839999999993,0.0,0.02059571938135161,0.02059571938135161,0.815,0.7246733000000001,0.0,0.039255158856807054,0.039255158856807054,0.694,0.6182535,0.0,0.03733614039216191,0.03733614039216191,0.734,0.2676972999999999,0.0,0.01393776245407761,0.01393776245407761,0.832,0.6376922999999999,0.0,0.0564593061828669,0.0564593061828669,0.681,2.3515073000519506,2.0629500000000007,0.06113263110376916,0.06113263110376916,0.053,2.0940898,1.8612499999999983,0.057040965117265176,0.057040965117265176,0.07,4217.709553480148,428.01130867004395,5,776,889,807,844,889,794,270,308
7,scheduled,14.317256591990088,12.154921388228543,0.7174681000000002,0.0,0.02404600824734028,0.02404600824734028,0.667,0.4210224999999999,0.0,0.022523378254528117,0.022523378254528117,0.814,0.8846578000000002,0.0,0.04851663023907507,0.04851663023907507,0.66,0.6580817,0.0,0.03932237224951232,0.03932237224951232,0.737,0.3498166,0.0,0.018065074956380427,0.018065074956380427,0.825,0.6236955000000001,0.0,0.056240022693734446,0.056240022693734446,0.684,2.24169320005195,1.979800000000001,0.058163892204440286,0.058163892204440286,0.058,2.1728172999999997,1.9232000000000014,0.05917296086780499,0.05917296086780499,0.075,4755.253107309341,483.50731110572815,0,794,889,773,840,879,797,303,293
